tf1,tf2,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,sl_type,direction,avg_trade_1c,num_trades,total_pts,win_rate,profit_factor,avg_win,avg_loss,max_dd_1c
120,90,70,40,80,95,360,540,0.9627275807517933,0.9871532585078996,20,1,1,none,long,-2.613053613053613,858,-2242.0,0.5023310023310024,0.9658663581139717,147.19489559164734,-154.54823529411766,11512.0
240,120,195,285,55,15,340,490,0.9202386733506664,0.954631308145104,20,1,1,none,long,-2.6231003039513676,658,-1726.0,0.513677811550152,0.9621789815058287,129.9112426035503,-143.9621451104101,9773.0
300,120,135,255,90,175,110,280,0.9198278530502944,0.9763604604976939,9,1,0,none,long,-2.6638036809815953,815,-2171.0,0.5128834355828221,0.9706546275395034,171.79425837320574,-187.29367088607594,10862.0
210,120,100,115,95,160,480,550,0.9410924872947082,1.005838503545084,29,1,0,none,long,-2.6654411764705883,544,-1450.0,0.4522058823529412,0.9405615904898544,93.27235772357723,-84.41176470588235,6445.0
210,90,265,165,75,90,240,380,0.9084344489267014,0.9413554496828018,13,1,1,none,long,-2.667617689015692,701,-1870.0,0.5178316690442225,0.9691444600280504,161.80440771349862,-179.83679525222553,9757.0
210,90,255,70,85,120,180,580,0.9189362181070618,0.9378251155526582,5,1,0,none,long,-2.7241379310344827,783,-2133.0,0.5185185185185185,0.9761838300152968,215.3399014778325,-237.56233421750665,17240.0
180,90,150,295,50,155,200,280,0.9996699181918455,0.9835716918837241,14,1,1,none,long,-2.7446457990115323,607,-1666.0,0.5024711696869851,0.9519497000461468,108.21639344262294,-116.3489932885906,6027.0
120,90,165,255,85,55,490,630,1.011945627013576,0.9834749147509018,22,1,1,none,long,-2.7470588235294118,340,-934.0,0.47058823529411764,0.9286205578907145,75.94375,-73.51123595505618,3857.0
180,120,145,115,15,90,460,670,0.9973649938629515,0.9287418814021506,26,1,0,none,long,-2.7475083056478407,602,-1654.0,0.5,0.9559942531793753,119.37541528239203,-126.97972972972973,6145.0
240,45,65,75,90,40,180,380,0.9490870769462544,0.9575387986522716,11,1,1,none,long,-2.75704989154013,922,-2542.0,0.527114967462039,0.9636129401660464,138.51440329218107,-161.33949191685912,11574.0
150,90,175,180,90,75,230,640,0.9470918340937666,0.9129125599269051,28,1,0,none,long,-2.7588306942752743,821,-2265.0,0.49573690621193667,0.9736235326998323,205.42260442260442,-208.93430656934308,14064.0
240,120,120,50,75,145,350,430,0.9258463792664199,0.9478759682064501,24,1,1,none,long,-2.7594405594405593,715,-1973.0,0.4965034965034965,0.9591807179062791,130.59718309859156,-135.3921568627451,11185.0
180,90,275,260,80,120,470,650,0.9920235723527313,0.9045287289039136,23,1,0,none,long,-2.765230312035661,673,-1861.0,0.4650817236255572,0.9499663933324372,112.88817891373802,-104.48033707865169,5579.0
300,120,115,65,65,45,340,630,0.9784875800042279,0.9614323199673352,16,1,0,none,long,-2.773913043478261,805,-2233.0,0.4857142857142857,0.968864596550426,177.71355498721226,-174.49878345498783,13820.0
240,120,30,105,95,115,170,300,0.9890633096669752,0.9354979536582306,15,1,1,none,long,-2.774885145482389,653,-1812.0,0.5252679938744257,0.9589348441926345,123.36151603498543,-144.19934640522877,6853.0
