phase,stage,experiment,ticker,timeframe,generator,seq_len,lr_g,lr_d,MAE,MAPE,DirAcc,PinballLoss,time_sec,notes
C1a,SBER,H1,lstm,supervised,0.01386997289955616,1.4254063367843628,0.49155358626419277,0.005046981852501631,280.9,Supervised LSTM + Huber + cls + q
C1b,SBER,H1,lstm,supervised,0.013756757602095604,1.4082415103912354,0.5059540293547494,0.004914864820117752,267.7,Supervised LSTM + MSE + cls + q
C1c,SBER,H1,lstm,supervised,0.013579243794083595,1.1768302917480469,0.48906120188313484,0.04243839345872402,261.8,Supervised LSTM + Huber only (minimal)
C1d,SBER,H1,tst,supervised,0.014027192257344723,1.6377437114715576,0.4829687067294378,0.004941965453326702,264.0,Supervised TST + Huber + cls + q
C2a,SBER,H1,lstm,classifier,0.033410392701625824,10.164348602294922,0.5101080033231792,0.016705196040372055,252.1,Classifier 2-class (up/down) + CrossEntropy
C2b,SBER,H1,lstm,classifier,0.013452837243676186,1.0010418891906738,0.5156466352810856,0.006726418466617663,244.8,Classifier 3-class (up/flat/down) + CrossEntropy
C2c,SBER,H1,lstm,classifier,0.017193365842103958,3.0487167835235596,0.4898919966768208,0.008596682921051979,246.9,Classifier 2-class + FocalLoss(gamma=2)
C2d,SBER,H1,lstm,classifier,0.033410392701625824,10.164348602294922,0.5101080033231792,0.016705196040372055,251.7,Classifier 2-class + CE (confidence filtering at eval)
C3a,SBER,H1,tst,cross_attn,0.01390775665640831,1.4244552850723267,0.4965383550263085,0.005047796216482918,292.7,"CrossAttn d=64, h=4, L=2"
C3b,SBER,H1,tst,cross_attn,0.015376492403447628,2.472435235977173,0.5095541401273885,0.004685833662127455,279.7,"CrossAttn d=32, h=2, L=1 (small)"
C3c,SBER,H1,tst,cross_attn,0.014512267895042896,2.021381139755249,0.5153697036831902,0.004813866689801216,289.0,CrossAttn d=64 + supervised loss
C4a,SBER,H1,lstm,tft,0.013726404868066311,1.3136966228485107,0.4882304070894489,0.004786527482792735,294.7,"TFT d=32, h=2, 1 LSTM layer (minimal)"
C4b,SBER,H1,lstm,tft,0.013505927287042141,1.2057267427444458,0.5253392412074218,0.00515878953350087,277.8,"TFT d=64, h=4, 2 LSTM layers (full)"
C4c,SBER,H1,lstm,tft,0.013726404868066311,1.3136966228485107,0.4882304070894489,0.004786527482792735,280.6,TFT d=32 (print VSN weights)
D1a,tft,0.003947662189602852,1.0454760789871216,0.4936489881037016,0.0015175093431025743,266.7,17,166022,42211,TFT d=64 single horizon (baseline re-run)
D1b,tft,0.005778485133002202,nan,0.4937788837539993,nan,179.1,17,166022,42211,"TFT d=64 multi-horizon (1,2,4) joint training"
D1c,tft,0.003947662189602852,1.0454760789871216,0.4936489881037016,0.0015175093431025743,265.5,17,166022,42211,TFT d=64 2-bar-ahead only
D1d,tft,0.003947662189602852,1.0454760789871216,0.4936489881037016,0.0015175093431025743,291.5,17,166022,42211,TFT d=64 4-bar-ahead only
D1c,tft,0.0055121066980063915,1.0220340490341187,0.4990876128634737,0.001934814111640056,296.8,17,166022,42211,TFT d=64 2-bar-ahead only
D1d,tft,0.007753288373351097,1.0609534978866577,0.5072164948453608,0.003047981997951865,145.8,17,166022,42211,TFT d=64 4-bar-ahead only
D2a,tft,0.003947662189602852,1.0454760789871216,0.4936489881037016,0.0015175093431025743,272.4,17,166022,42211,TFT d=64 raw delta target (baseline = C4b)
D2b,tft,nan,nan,nan,nan,0,0,0,0,TFT d=64 delta/ATR(14) target
D2c,tft,nan,nan,nan,nan,0,0,0,0,TFT d=64 delta/ATR(7) target
D2d,supervised,nan,nan,nan,nan,0,0,0,0,Supervised LSTM delta/ATR(14) target
D2b,tft,0.010707772336900234,4.983968257904053,0.479335513531447,8.499438967555761,127.1,17,166022,42211,TFT d=64 delta/ATR(14) target
D2c,tft,0.010707772336900234,4.983968257904053,0.479335513531447,8.499438967555761,127.8,17,166022,42211,TFT d=64 delta/ATR(7) target
D2d,supervised,0.006299447733908892,2.5823166370391846,0.48554433859424617,11.54130783296811,42.1,17,166022,42211,Supervised LSTM delta/ATR(14) target
D2b,tft,0.010707772336900234,4.983968257904053,0.479335513531447,8.499438967555761,128.0,17,166022,42211,TFT d=64 delta/ATR(14) target
D2c,tft,0.00916291493922472,4.149275302886963,0.49149248779563015,29.115029050658148,145.0,17,166022,42211,TFT d=64 delta/ATR(7) target
D2d,supervised,0.006299447733908892,2.5823166370391846,0.48554433859424617,11.54130783296811,40.2,17,166022,42211,Supervised LSTM delta/ATR(14) target
D2b,tft,0.2335306704044342,0.9998182654380798,0.4896677567657235,0.10019350548585255,228.6,17,166022,42211,TFT d=64 delta/ATR(14) target
D2c,tft,0.2335430085659027,1.0001354217529297,0.4896677567657235,0.10064900418122609,228.4,17,166022,42211,TFT d=64 delta/ATR(7) target
D2d,supervised,0.2335914671421051,1.002345323562622,0.48928859187639223,0.10434539864460628,33.1,17,166022,42211,Supervised LSTM delta/ATR(14) target
D3a,tft,0.003947662189602852,1.0454760789871216,0.4936489881037016,0.0015175093431025743,269.9,17,166022,42211,All volume (range+gap+vol+vwap+ATR+OBV)
D3b,tft,0.003955359570682049,1.067987084388733,0.48848286648656336,0.0013860755910476048,146.4,13,166022,42211,range + gap only (top-2 VSN features)
D3c,tft,0.003950527403503656,1.0266010761260986,0.48630266837290864,0.0015106027713045478,235.1,15,166022,42211,range + gap + ATR + OBV (drop low-weight)
D3d,tft,0.003949517384171486,1.0353957414627075,0.48305606900800985,0.0014218090412517388,232.3,11,166022,42211,No volume features at all
