entry_time,exit_time,entry_price,exit_price,contracts,pnl,exit_reason
2012-07-30 12:59:00,2012-08-01 12:59:00,138915.0,137235.0,17,-28560.0,signal_reverse
2012-08-06 12:59:00,2012-08-10 12:59:00,140460.0,142215.0,15,26325.0,signal_reverse
2012-08-23 12:59:00,2012-08-24 12:59:00,145260.0,143385.0,19,-35625.0,signal_reverse
2012-09-07 12:59:00,2012-09-10 10:59:00,145790.0,146460.0,22,14740.0,expiration
2012-10-18 12:59:00,2012-10-19 12:59:00,151850.0,149040.0,22,-61820.0,signal_reverse
2012-11-22 12:59:00,2012-11-23 12:59:00,142200.0,141790.0,28,-11480.0,signal_reverse
2012-11-23 13:59:00,2012-11-26 13:59:00,142260.0,142560.0,34,10200.0,signal_reverse
2012-12-04 12:59:00,2012-12-07 12:59:00,144560.0,145930.0,28,38360.0,signal_reverse
2013-01-08 12:59:00,2013-01-11 12:59:00,157760.0,157110.0,26,-16900.0,signal_reverse
2013-01-14 12:59:00,2013-01-15 12:59:00,159210.0,158820.0,35,-13650.0,signal_reverse
2013-01-18 12:59:00,2013-01-18 13:59:00,160420.0,160210.0,38,-7980.0,signal_reverse
2013-01-29 12:59:00,2013-01-29 13:59:00,163350.0,162540.0,30,-24300.0,signal_reverse
2013-02-14 12:59:00,2013-02-14 13:59:00,162030.0,160670.0,28,-38080.0,signal_reverse
2013-04-10 12:59:00,2013-04-11 12:59:00,141340.0,139870.0,29,-42630.0,signal_reverse
2013-04-29 13:59:00,2013-04-30 12:59:00,134710.0,134800.0,26,2340.0,signal_reverse
2013-05-20 12:59:00,2013-05-20 13:59:00,142300.0,141560.0,24,-17760.0,signal_reverse
2013-05-22 12:59:00,2013-05-23 10:59:00,144800.0,141380.0,23,-78660.0,stop_loss
2013-06-28 12:59:00,2013-06-28 13:59:00,126690.0,126220.0,20,-9400.0,signal_reverse
2013-07-11 12:59:00,2013-07-18 13:59:00,129520.0,137350.0,26,203580.0,signal_reverse
2013-08-13 13:59:00,2013-08-16 12:59:00,133520.0,132240.0,33,-42240.0,signal_reverse
2013-09-06 12:59:00,2013-09-09 10:59:00,134180.0,135750.0,27,42390.0,expiration
2013-10-09 12:59:00,2013-10-14 12:59:00,146440.0,147120.0,24,16320.0,signal_reverse
2013-12-19 12:59:00,2013-12-20 12:59:00,143950.0,143250.0,28,-19600.0,signal_reverse
2013-12-20 13:59:00,2013-12-23 12:59:00,143690.0,144110.0,24,10080.0,signal_reverse
2013-12-23 13:59:00,2013-12-24 13:59:00,144720.0,145840.0,33,36960.0,signal_reverse
2014-02-11 12:59:00,2014-02-13 12:59:00,134340.0,134500.0,29,4640.0,signal_reverse
2014-03-19 12:59:00,2014-03-20 12:59:00,112810.0,111860.0,10,-9500.0,signal_reverse
2014-05-07 12:59:00,2014-05-14 12:59:00,114400.0,122300.0,22,173800.0,signal_reverse
2014-06-05 13:59:00,2014-06-06 12:59:00,132040.0,131450.0,23,-13570.0,signal_reverse
2014-06-19 12:59:00,2014-06-20 12:59:00,133240.0,131430.0,24,-43440.0,signal_reverse
