period,entry_time,exit_time,entry_price,exit_price,contracts,pnl,exit_reason,pnl_1c
train,2013-02-06 19:17:00,2013-02-08 19:17:00,159840.0,158860.0,31,30380.0,signal_reverse,980.0
train,2013-02-11 16:47:00,2013-02-12 16:47:00,159340.0,158500.0,36,30240.0,signal_reverse,840.0
train,2013-02-12 19:17:00,2013-02-13 16:47:00,158270.0,161160.0,36,-104040.0,signal_reverse,-2890.0
train,2013-02-14 20:12:00,2013-02-19 16:47:00,158330.0,158780.0,21,-9450.0,signal_reverse,-450.0
train,2013-02-20 19:17:00,2013-02-22 16:47:00,157650.0,155230.0,31,75020.0,signal_reverse,2420.0
train,2013-03-18 16:48:00,2013-03-19 16:47:00,144060.0,144100.0,21,-840.0,signal_reverse,-40.0
train,2013-03-25 19:17:00,2013-03-28 16:47:00,140480.0,140250.0,31,7130.0,signal_reverse,230.0
train,2013-04-01 19:17:00,2013-04-01 21:32:00,139480.0,139970.0,39,-19110.0,signal_reverse,-490.0
train,2013-04-02 21:32:00,2013-04-08 16:47:00,139430.0,138340.0,34,37060.0,signal_reverse,1090.0
train,2013-04-12 16:47:00,2013-04-19 16:47:00,136910.0,129820.0,31,219790.0,signal_reverse,7090.0
train,2013-05-23 20:47:00,2013-05-28 16:47:00,140170.0,140240.0,21,-1470.0,signal_reverse,-70.0
train,2013-05-28 19:17:00,2013-05-30 16:47:00,138900.0,135140.0,26,97760.0,signal_reverse,3760.0
train,2013-06-20 16:47:00,2013-06-25 16:47:00,124820.0,124070.0,18,13500.0,signal_reverse,750.0
train,2013-07-03 17:32:00,2013-07-03 19:17:00,125300.0,126120.0,29,-23780.0,signal_reverse,-820.0
train,2013-07-04 16:47:00,2013-07-04 17:32:00,125820.0,126520.0,39,-27300.0,signal_reverse,-700.0
train,2013-07-05 19:17:00,2013-07-08 16:47:00,125890.0,126630.0,30,-22200.0,signal_reverse,-740.0
train,2013-07-31 16:47:00,2013-07-31 18:17:00,131290.0,131310.0,30,-600.0,signal_reverse,-20.0
train,2013-08-06 18:17:00,2013-08-09 16:47:00,130570.0,130710.0,39,-5460.0,signal_reverse,-140.0
train,2013-08-16 16:47:00,2013-08-19 19:17:00,131480.0,131690.0,24,-5040.0,signal_reverse,-210.0
train,2013-08-20 16:47:00,2013-08-22 16:47:00,130810.0,132410.0,50,-80000.0,signal_reverse,-1600.0
train,2013-08-28 16:47:00,2013-09-02 16:47:00,129750.0,129570.0,22,3960.0,signal_reverse,180.0
train,2013-09-02 19:17:00,2013-09-03 16:47:00,128970.0,129200.0,45,-10350.0,signal_reverse,-230.0
train,2013-10-30 20:02:00,2013-10-30 20:47:00,148630.0,148820.0,42,-7980.0,signal_reverse,-190.0
train,2013-10-31 16:47:00,2013-10-31 20:02:00,147910.0,147800.0,29,3190.0,signal_reverse,110.0
train,2013-11-01 16:47:00,2013-11-07 16:47:00,147710.0,146760.0,49,46550.0,signal_reverse,950.0
train,2013-11-21 16:47:00,2013-11-22 19:17:00,142220.0,144720.0,32,-80000.0,signal_reverse,-2500.0
train,2013-11-25 19:17:00,2013-11-27 21:32:00,143290.0,141080.0,38,83980.0,signal_reverse,2210.0
train,2014-01-06 16:47:00,2014-01-08 16:47:00,139500.0,139490.0,29,290.0,signal_reverse,10.0
train,2014-01-08 19:17:00,2014-01-10 16:47:00,138920.0,139520.0,41,-24600.0,signal_reverse,-600.0
train,2014-01-16 19:17:00,2014-01-17 16:47:00,138860.0,140270.0,42,-59220.0,signal_reverse,-1410.0
train,2014-01-17 19:27:00,2014-01-20 16:47:00,139170.0,139690.0,36,-18720.0,signal_reverse,-520.0
train,2014-01-21 16:47:00,2014-01-22 19:17:00,139420.0,139350.0,46,3220.0,signal_reverse,70.0
train,2014-01-23 16:47:00,2014-01-30 16:47:00,139330.0,131050.0,54,447120.0,signal_reverse,8280.0
train,2014-02-13 16:47:00,2014-02-14 16:47:00,133360.0,134580.0,35,-42700.0,signal_reverse,-1220.0
train,2014-02-19 16:47:00,2014-02-21 16:47:00,130730.0,130690.0,27,1080.0,signal_reverse,40.0
train,2014-02-26 16:47:00,2014-03-05 16:47:00,128080.0,118020.0,34,342040.0,signal_reverse,10060.0
train,2014-03-24 19:17:00,2014-03-25 16:47:00,109490.0,114440.0,15,-74250.0,signal_reverse,-4950.0
train,2014-04-14 16:47:00,2014-04-17 16:47:00,114760.0,112730.0,22,44660.0,signal_reverse,2030.0
train,2014-04-23 17:32:00,2014-04-28 19:17:00,113060.0,110180.0,29,83520.0,signal_reverse,2880.0
train,2014-05-05 18:17:00,2014-05-06 16:47:00,109220.0,112650.0,30,-102900.0,signal_reverse,-3430.0
train,2014-06-26 19:17:00,2014-07-01 16:47:00,131800.0,131280.0,23,11960.0,signal_reverse,520.0
train,2014-07-11 16:47:00,2014-07-15 16:47:00,133790.0,133790.0,19,-0.0,signal_reverse,0.0
train,2014-07-17 16:47:00,2014-07-21 16:47:00,127880.0,123350.0,17,77010.0,signal_reverse,4530.0
train,2014-07-28 16:47:00,2014-07-30 16:47:00,120180.0,122880.0,19,-51300.0,signal_reverse,-2700.0
train,2014-07-31 19:17:00,2014-08-01 18:17:00,119840.0,120240.0,19,-7600.0,signal_reverse,-400.0
train,2014-08-01 19:17:00,2014-08-01 21:32:00,119640.0,119830.0,22,-4180.0,signal_reverse,-190.0
train,2014-08-04 17:32:00,2014-08-04 19:17:00,119640.0,119920.0,26,-7280.0,signal_reverse,-280.0
train,2014-08-05 16:47:00,2014-08-08 16:47:00,118370.0,117180.0,25,29750.0,signal_reverse,1190.0
train,2014-08-29 16:47:00,2014-09-03 16:47:00,119760.0,123600.0,26,-99840.0,signal_reverse,-3840.0
train,2014-09-25 20:02:00,2014-09-25 20:47:00,115290.0,115620.0,28,-9240.0,signal_reverse,-330.0
train,2014-09-26 16:47:00,2014-09-26 17:32:00,114090.0,114230.0,27,-3780.0,signal_reverse,-140.0
train,2014-09-29 16:47:00,2014-10-06 16:47:00,113230.0,111170.0,27,55620.0,signal_reverse,2060.0
train,2014-10-07 19:17:00,2014-10-07 20:02:00,109030.0,109300.0,24,-6480.0,signal_reverse,-270.0
train,2014-10-08 18:17:00,2014-10-08 20:02:00,107490.0,107750.0,29,-7540.0,signal_reverse,-260.0
train,2014-10-09 16:47:00,2014-10-13 16:47:00,108020.0,107210.0,21,17010.0,signal_reverse,810.0
train,2014-10-15 16:54:00,2014-10-16 21:32:00,106270.0,105260.0,22,22220.0,signal_reverse,1010.0
train,2014-10-20 16:47:00,2014-10-21 16:47:00,104990.0,105470.0,20,-9600.0,signal_reverse,-480.0
train,2014-10-22 21:32:00,2014-10-24 20:02:00,103220.0,105020.0,27,-48600.0,signal_reverse,-1800.0
train,2014-10-27 16:47:00,2014-10-27 19:17:00,102910.0,103520.0,24,-14640.0,signal_reverse,-610.0
train,2014-11-05 16:47:00,2014-11-05 21:32:00,105400.0,104790.0,19,11590.0,signal_reverse,610.0
