entry_time,exit_time,entry_price,exit_price,contracts,pnl,exit_reason,period,pnl_1c
2015-12-01 14:33:00,2015-12-08 11:29:00,83790.0,78620.0,23,118910.0,expiration,train,5170.0
2015-12-28 14:33:00,2015-12-29 20:04:00,75290.0,77010.0,31,-53320.0,signal_reverse,train,-1720.0
2015-12-30 14:39:00,2016-01-05 20:54:00,75980.0,75360.0,28,17360.0,signal_reverse,train,620.0
2016-01-06 14:39:00,2016-01-21 14:33:00,73950.0,62070.0,24,285120.0,signal_reverse,train,11880.0
2016-01-25 16:03:00,2016-01-25 17:33:00,68160.0,68020.0,12,1680.0,signal_reverse,train,140.0
2016-01-26 14:33:00,2016-01-26 16:03:00,67340.0,67280.0,13,780.0,signal_reverse,train,60.0
2016-02-09 20:48:00,2016-02-10 14:33:00,67570.0,69170.0,16,-25600.0,signal_reverse,train,-1600.0
2016-02-10 16:03:00,2016-02-10 20:48:00,69060.0,69660.0,16,-9600.0,signal_reverse,train,-600.0
2016-02-11 14:33:00,2016-02-12 14:33:00,67090.0,68220.0,15,-16950.0,signal_reverse,train,-1130.0
2016-05-17 14:34:00,2016-05-17 17:34:00,90680.0,91650.0,18,-17460.0,signal_reverse,train,-970.0
2016-05-19 14:34:00,2016-05-25 14:34:00,89730.0,90740.0,20,-20200.0,signal_reverse,train,-1010.0
2016-06-01 14:34:00,2016-06-02 20:49:00,88700.0,88560.0,25,3500.0,signal_reverse,train,140.0
2016-06-24 14:34:00,2016-06-28 14:34:00,87480.0,87870.0,16,-6240.0,signal_reverse,train,-390.0
2016-07-06 16:04:00,2016-07-06 19:19:00,89390.0,90530.0,30,-34200.0,signal_reverse,train,-1140.0
2016-08-02 14:34:00,2016-08-04 14:34:00,90650.0,91730.0,26,-28080.0,signal_reverse,train,-1080.0
2016-09-19 14:34:00,2016-09-19 16:04:00,96380.0,96700.0,27,-8640.0,signal_reverse,train,-320.0
2016-09-20 14:34:00,2016-09-20 20:49:00,95390.0,96420.0,30,-30900.0,signal_reverse,train,-1030.0
2016-10-21 14:34:00,2016-10-21 16:04:00,98690.0,98290.0,41,16400.0,signal_reverse,train,400.0
2016-11-02 14:34:00,2016-11-02 16:04:00,98230.0,98360.0,40,-5200.0,signal_reverse,train,-130.0
2016-11-03 14:34:00,2016-11-09 14:34:00,97220.0,98810.0,36,-57240.0,signal_reverse,train,-1590.0
2016-11-11 16:04:00,2016-11-15 17:34:00,98390.0,98030.0,18,6480.0,signal_reverse,train,360.0
2017-01-19 20:54:00,2017-01-24 14:34:00,113250.0,114800.0,25,-38750.0,signal_reverse,train,-1550.0
2017-02-17 17:34:00,2017-02-20 14:34:00,115470.0,115100.0,32,11840.0,signal_reverse,train,370.0
2017-02-22 17:34:00,2017-03-09 11:29:00,113920.0,107870.0,28,169400.0,expiration,train,6050.0
2017-04-12 20:49:00,2017-04-13 14:34:00,107660.0,107860.0,22,-4400.0,signal_reverse,train,-200.0
2017-04-14 17:34:00,2017-04-21 17:34:00,106780.0,108100.0,19,-25080.0,stop_loss,train,-1320.0
2017-04-21 19:19:00,2017-04-24 14:34:00,107310.0,110050.0,25,-68500.0,signal_reverse,train,-2740.0
2017-05-04 22:24:00,2017-05-05 22:19:00,106760.0,108180.0,25,-35500.0,signal_reverse,train,-1420.0
2017-05-18 16:04:00,2017-05-19 14:34:00,106800.0,107870.0,27,-28890.0,signal_reverse,train,-1070.0
2017-05-25 20:54:00,2017-06-08 11:29:00,107490.0,102510.0,24,119520.0,expiration,train,4980.0
2017-08-18 17:34:00,2017-08-18 19:19:00,101780.0,103360.0,34,-53720.0,signal_reverse,train,-1580.0
2017-10-24 19:19:00,2017-10-24 20:49:00,113200.0,113310.0,48,-5280.0,signal_reverse,train,-110.0
2017-10-25 14:34:00,2017-10-30 14:34:00,112970.0,113260.0,50,-14500.0,signal_reverse,train,-290.0
2017-10-31 14:34:00,2017-11-01 16:04:00,112210.0,113060.0,36,-30600.0,signal_reverse,train,-850.0
2017-11-01 20:49:00,2017-11-03 14:34:00,112190.0,112130.0,37,2220.0,signal_reverse,train,60.0
2017-11-03 16:04:00,2017-11-07 14:34:00,112030.0,114740.0,37,-100270.0,signal_reverse,train,-2710.0
2017-11-15 19:24:00,2017-11-16 17:34:00,111990.0,112170.0,33,-5940.0,signal_reverse,train,-180.0
2017-11-20 17:34:00,2017-11-20 20:49:00,112530.0,113040.0,30,-15300.0,signal_reverse,train,-510.0
2017-12-01 20:49:00,2017-12-04 16:04:00,111180.0,112900.0,26,-44720.0,signal_reverse,train,-1720.0
2017-12-06 19:19:00,2017-12-08 11:29:00,112050.0,112150.0,30,-3000.0,expiration,train,-100.0
2018-02-07 20:49:00,2018-02-14 19:24:00,122880.0,125200.0,15,-34800.0,stop_loss,train,-2320.0
