tf1,tf2,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,avg_trade_1c,num_trades,total_pts,win_rate,profit_factor,avg_win,avg_loss
195,50,105,315,105,195,180,470,0.951672552549594,0.9844539117715062,24,0,1,296.1550151975684,329,97435.0,0.3708206686930091,1.253459757556839,3949.6311475409834,-1857.1014492753623
195,60,110,315,60,150,170,510,0.9641686662861646,1.0063462152021916,26,0,1,296.0385756676558,337,99765.0,0.314540059347181,1.3246237696249898,3840.4716981132074,-1330.4112554112555
195,45,115,305,105,190,190,500,0.9654154346657803,0.9904595291550261,28,0,1,295.97305389221555,334,98855.0,0.3712574850299401,1.263771596291108,3819.5967741935483,-1793.1818181818182
150,55,65,260,95,165,170,430,0.9394128561117424,0.9831549112240457,28,0,1,295.93939393939394,330,97660.0,0.3939393939393939,1.2563355512684227,3681.8846153846152,-1904.925
150,60,95,275,60,175,190,550,0.9614575231622094,0.9835788583113501,26,0,1,295.9248554913295,346,102390.0,0.36416184971098264,1.2990143827115426,3530.277777777778,-1556.4772727272727
195,60,105,320,65,165,180,560,0.9610881468947411,0.9863865945692888,23,0,1,295.86538461538464,364,107695.0,0.3626373626373626,1.3109965635738832,3439.280303030303,-1492.6293103448277
150,55,70,275,80,150,190,590,0.9733361086803904,0.989739131955365,26,0,1,295.8646616541353,399,118050.0,0.3558897243107769,1.2991978304672351,3609.894366197183,-1535.2334630350194
165,45,85,300,85,150,230,500,0.9572900022880516,1.0171549672587543,20,0,1,295.73770491803276,305,90200.0,0.3442622950819672,1.3285974499089253,3473.3333333333335,-1372.5
195,60,75,305,60,155,180,520,0.9455012284244376,0.9849842922201335,28,0,1,295.4947916666667,384,113470.0,0.3541666666666667,1.3094228488062938,3530.7720588235293,-1478.6895161290322
210,45,85,295,95,170,230,460,0.9539313117955983,0.9805762984358846,23,0,1,295.4927536231884,345,101945.0,0.37681159420289856,1.2341921181700186,4132.692307692308,-2034.1355140186915
195,60,110,255,60,165,220,560,0.9527486319788078,1.0142783789784995,24,0,1,295.487012987013,308,91010.0,0.32142857142857145,1.3288765222418963,3714.5454545454545,-1330.4326923076924
165,50,85,290,100,155,190,460,0.9759558006851581,0.991053583842391,21,0,1,295.4335260115607,346,102220.0,0.3786127167630058,1.2708783273488533,3660.9541984732823,-1755.1860465116279
210,60,85,320,60,205,170,530,0.983816128604898,0.9908968561500445,23,0,1,295.39130434782606,345,101910.0,0.32463768115942027,1.2997088492191866,3945.8928571428573,-1465.646551724138
210,70,90,290,60,205,140,590,0.9957510232367869,1.0005854944956896,28,0,1,295.3776435045317,331,97770.0,0.31419939577039274,1.3128690059040944,3944.855769230769,-1376.6299559471365
180,60,60,245,105,185,150,580,0.9603997319542883,1.0119532439408343,27,0,1,295.3560830860534,337,99535.0,0.3264094955489614,1.3496811818229724,3492.5454545454545,-1253.942731277533
165,55,90,285,60,175,170,460,0.9860634120420041,0.9836521357070228,26,0,1,295.3458213256484,347,102485.0,0.3515850144092219,1.3003047440443052,3637.3360655737706,-1516.7555555555555
165,45,100,280,85,185,180,480,0.9900746254402254,1.005498830712806,24,0,1,295.3315649867374,377,111340.0,0.3129973474801061,1.3269129132656057,3829.830508474576,-1314.980694980695
