tf1,tf2,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,sl_type,time_bars,time_target,direction,avg_trade_1c,num_trades,total_pts,win_rate,profit_factor,avg_win,avg_loss,max_dd_1c,be_target,be_offset,trail_pts,trail_atr,sl_atr_mult,sl_pts
180,45,185,20,20,120,170,610,1.0156638331940688,1.0303056918358007,12,1,1,atr,,,short,128.22033898305085,236,30260.0,0.4449152542372881,1.1832218219248585,1861.095238095238,-1270.423076923077,20750.0,,,,,3.55,
120,90,250,150,5,50,260,620,0.9874031986744785,0.9491579753296648,18,0,0,trail_atr,,,short,128.16933638443936,437,56010.0,0.36384439359267734,1.1596203992647374,2559.1509433962265,-1262.2122302158273,36800.0,,,,4.2,,
150,45,165,275,35,160,110,430,0.9417772990294397,0.981944738125377,18,1,1,trail_atr,,,short,128.16455696202533,948,121500.0,0.4778481012658228,1.2515762338106036,1334.3377483443708,-981.6158536585366,26535.0,,,,4.01,,
300,45,260,195,25,25,230,380,0.9896258465222398,0.9310728414824734,29,0,0,none,,,short,128.11141304347825,368,47145.0,0.44565217391304346,1.1545940451206715,2146.981707317073,-1509.7029702970297,34530.0,,,,,,
120,90,210,60,80,50,350,540,1.0063329624204236,0.9449361565866984,13,1,0,trail_pts,,,short,128.08823529411765,374,47905.0,0.5267379679144385,1.3006935944512443,1051.8781725888325,-910.3714285714286,17470.0,,,3000.0,,,
240,45,290,270,35,100,360,670,0.9539676245691185,0.971475553773903,9,0,0,trail_pts,,,short,128.05816135084427,533,68255.0,0.37523452157598497,1.1572713971359117,2511.25,-1303.2882882882882,38565.0,,,3000.0,,,
180,60,295,245,20,105,230,540,1.0394924076659244,1.033188266690236,17,1,1,atr,,,short,127.97153024911032,281,35960.0,0.4555160142348754,1.163540032289606,1998.7890625,-1456.1920529801325,20455.0,,,,,3.13,
240,45,200,95,95,185,180,690,1.0418856438177302,0.9765424287589273,22,1,0,none,,,short,127.95871559633028,218,27895.0,0.481651376146789,1.1378007212369707,2193.5714285714284,-1807.4107142857142,41950.0,,,,,,
240,120,110,215,5,140,110,600,1.0568627691234664,0.9679495705052534,16,1,1,atr,,,short,127.91066282420749,347,44385.0,0.4755043227665706,1.1460273071228821,2111.121212121212,-1679.2817679558011,27310.0,,,,,4.5,
210,90,80,185,80,170,350,440,1.0252247192364226,1.002472097125745,19,0,1,trail_atr,,,short,127.9049676025918,463,59220.0,0.3801295896328294,1.1233415949846917,3064.4886363636365,-1672.9268292682927,49615.0,,,,1.06,,
