month,trades,n_long,n_short,pnl,avg_pnl,wins,gross_profit,gross_loss,avg_contracts,date,cum_pnl,equity,wr,pf,return_pct
2016-08,5,4,1,-65431.896000000015,-13086.379200000003,1,93173.43,-158605.326,64.8,2016-08-01,12967286.968999997,17967286.968999997,20.0,0.5874546104460577,-1.3086379200000002
2016-09,6,3,3,40269.024000000005,6711.504000000001,1,239367.936,-199098.912,54.666666666666664,2016-09-01,13007555.992999997,18007555.992999997,16.666666666666664,1.202256373957483,0.8053804800000002
2016-10,9,6,3,-142758.956,-15862.106222222223,2,63700.144,-206459.10000000003,64.88888888888889,2016-10-01,12864797.036999997,17864797.036999997,22.22222222222222,0.3085363832352267,-2.8551791200000003
2016-11,7,4,3,-479033.774,-68433.39628571428,1,2268.068,-481301.842,52.857142857142854,2016-11-01,12385763.262999997,17385763.262999997,14.285714285714285,0.004712360938772389,-9.580675479999998
2016-12,3,3,0,369854.30999999994,123284.76999999997,1,449979.894,-80125.584,78.0,2016-12-01,12755617.572999997,17755617.573,33.33333333333333,5.615932783716122,7.397086199999999
2017-01,4,3,1,-72572.65600000002,-18143.164000000004,2,50102.479999999996,-122675.136,57.0,2017-01-01,12683044.916999998,17683044.916999996,50.0,0.40841593197826165,-1.4514531200000003
2017-02,5,1,4,-48081.34400000001,-9616.268800000002,1,85094.68,-133176.02399999998,44.8,2017-02-01,12634963.572999997,17634963.573,20.0,0.6389639624621922,-0.9616268800000003
2017-03,5,4,1,132914.768,26582.9536,3,183678.79200000002,-50764.024,58.0,2017-03-01,12767878.340999996,17767878.341,60.0,3.618286682710575,2.65829536
2017-04,3,1,2,-44309.45599999999,-14769.818666666664,1,109921.88,-154231.336,50.666666666666664,2017-04-01,12723568.884999996,17723568.884999998,33.33333333333333,0.7127078248223175,-0.8861891199999997
2017-05,5,2,3,37755.978,7551.195600000001,2,91870.08,-54114.102,49.6,2017-05-01,12761324.862999996,17761324.862999998,40.0,1.6977105154586138,0.75511956
