y_true,y_pred,y_logit,q10,q50,q90
0.0052996874,0.00037445128,-0.038833715,-0.00872482,-0.00097142905,0.0013536625
0.0011968613,0.0003150627,-0.038572334,-0.008824069,-0.0010040551,0.0015162155
0.0035899878,0.00018689036,-0.038013026,-0.0089730285,-0.0010096431,0.001649037
0.023079395,0.00012921542,-0.037726574,-0.00906603,-0.0010302141,0.0017850287
0.007863879,-7.335283e-05,-0.036862493,-0.009279929,-0.0010220483,0.0019299723
0.0011968613,-0.00010841712,-0.036703445,-0.009342071,-0.001040332,0.002028726
0.008376837,-0.00015797652,-0.03647024,-0.0094385855,-0.0010666177,0.0021814518
-0.0013674498,-0.00020439178,-0.036260888,-0.009506408,-0.001074709,0.0022580363
-0.007009387,-0.00017528608,-0.036389165,-0.009460263,-0.001064986,0.0021956898
-0.0035899878,-0.00023110397,-0.036137313,-0.0095527135,-0.0010838956,0.0023193099
-0.0102574825,-0.00026784465,-0.03596759,-0.009598222,-0.001087144,0.0023669563
0.007351041,-0.0003441982,-0.035624996,-0.009704784,-0.0010988638,0.0024878606
-0.0034193993,-0.00037319213,-0.035516515,-0.0097395,-0.0011013001,0.002517458
-0.00051283836,-0.00045903772,-0.035139732,-0.009860039,-0.0011197999,0.002664499
-0.00068342686,-0.0005227998,-0.034863718,-0.009962704,-0.0011326745,0.0027884804
-0.0075222254,-0.0005084574,-0.03494019,-0.009928901,-0.0011243075,0.0027361736
0.002564311,-0.0003142003,-0.035761185,-0.009652313,-0.001085557,0.002417434
-0.0046157837,-0.00020643696,-0.03630717,-0.009531368,-0.0010724068,0.0022716448
-0.0027353764,-0.00024024025,-0.036124915,-0.009600092,-0.0010873452,0.002380658
0.0052996874,-0.00010530278,-0.036747172,-0.00935724,-0.001036033,0.0020196922
0.0006840229,-7.648766e-05,-0.036912143,-0.009317912,-0.0010322481,0.001968626
-0.004445076,-6.155297e-05,-0.036959216,-0.009313513,-0.0010411516,0.001994431
0.006325364,-4.7296286e-05,-0.037001163,-0.009313386,-0.001051575,0.0020313524
-0.0018802881,-2.1630898e-05,-0.037125334,-0.009275302,-0.0010477677,0.0019926652
0.0017091036,-8.417293e-06,-0.03717412,-0.0092634745,-0.0010454953,0.0019746274
0.00017118454,5.9498474e-05,-0.037465535,-0.009189151,-0.0010458604,0.0019267015
0.00017106533,6.4730644e-05,-0.037490837,-0.00918204,-0.0010411665,0.0019057207
0.004102826,9.539351e-05,-0.03762261,-0.009143777,-0.0010399371,0.0018781498
0.004102826,0.00012647547,-0.037747726,-0.0091057755,-0.0010259598,0.0018040575
0.0035904646,0.00017332286,-0.037967652,-0.009018064,-0.0010003522,0.0016621165
-0.0013679266,0.00028448738,-0.038456365,-0.008889392,-0.0009948984,0.0015446059
-0.0018802881,0.00037160143,-0.03885737,-0.008765593,-0.0009798035,0.0013996698
0.002222538,0.00021575019,-0.038177185,-0.008957971,-0.0010078773,0.001624316
0.0010256767,0.00038919784,-0.038930245,-0.008757036,-0.0009890944,0.0014198944
-0.001196742,0.00048650056,-0.039341293,-0.008648932,-0.000987269,0.0013422333
0.0010256767,0.0003797505,-0.038911127,-0.00874532,-0.0009870008,0.0013990737
-0.00051283836,0.00037497655,-0.038885362,-0.008755386,-0.0009875372,0.0014106221
-0.0015386343,0.0003689155,-0.038857035,-0.00876781,-0.0009872615,0.0014201403
0.00051283836,0.0003889408,-0.03894174,-0.008745655,-0.00098598,0.0014019981
-0.00017106533,0.00041309744,-0.039047822,-0.008717246,-0.000983946,0.0013758652
0.0015385151,0.00036339834,-0.038828023,-0.008777138,-0.0009866655,0.0014267452
0.00085508823,0.0003601499,-0.038811803,-0.008784141,-0.0009869337,0.0014327317
0.00034177303,0.00033786707,-0.038715906,-0.008809198,-0.0009894446,0.0014580563
0.0008546114,0.00033994578,-0.038723007,-0.008807618,-0.0009908974,0.001462575
0.0006839037,0.00036864914,-0.038854085,-0.008766692,-0.0009822771,0.0013998859
0.0015386343,0.0003503859,-0.038782157,-0.008779377,-0.0009761676,0.0013923422
-0.0001705885,0.0003277529,-0.038675524,-0.008821089,-0.0009871349,0.0014590174
-0.00017118454,0.00033160113,-0.038686752,-0.008821506,-0.000989832,0.0014705397
-0.00017106533,0.00033557788,-0.038710184,-0.008817151,-0.0009942427,0.0014814585
0.0,0.00027069077,-0.038430803,-0.008891001,-0.0009964183,0.0015390031
0.0006839037,0.00032777153,-0.038690418,-0.008819323,-0.0009898245,0.0014675967
0.0006840229,0.00032205693,-0.03865075,-0.008830953,-0.0009924993,0.0014857017
0.0020513535,0.00035227276,-0.03878893,-0.008784942,-0.000974454,0.0013983287
0.00034177303,0.00038175844,-0.038910396,-0.008753471,-0.0009775609,0.0013804846
-0.0011968613,0.00036484562,-0.03882788,-0.008778311,-0.0009860247,0.0014267899
0.00085508823,0.00033368915,-0.038687207,-0.008816596,-0.0009909868,0.0014694892
-0.00085508823,0.00036149658,-0.03880643,-0.008788053,-0.000990212,0.0014492497
0.0015391111,0.00035764463,-0.03880477,-0.008790694,-0.0009917468,0.0014547817
-0.0013679266,0.0003527254,-0.038777232,-0.008796688,-0.0009884089,0.0014472455
0.00034165382,0.0003864821,-0.038933523,-0.008751668,-0.0009861514,0.0014079139
0.0013680458,0.00032762438,-0.038676873,-0.008814964,-0.000988856,0.0014585219
0.00017106533,0.00032164343,-0.038653746,-0.008823078,-0.0009892583,0.0014659762
0.00051283836,0.00031594746,-0.038628757,-0.008832287,-0.0009872541,0.001465369
0.0011963844,0.00032014586,-0.038644508,-0.0088322945,-0.0009875894,0.0014679581
0.0006839037,0.0003126096,-0.03860773,-0.008843556,-0.0009911731,0.001488246
-0.00017106533,0.00027152523,-0.038437024,-0.008885365,-0.0009967908,0.0015343167
0.0006839037,0.0002711527,-0.03843478,-0.0088876225,-0.0009952486,0.0015309341
-0.00017106533,0.0003339015,-0.038702473,-0.008816522,-0.0009880811,0.0014573
0.00034224987,0.0003262814,-0.03867682,-0.008818969,-0.0009883121,0.0014590807
-0.00051283836,0.00032105483,-0.03865835,-0.008825783,-0.0009896532,0.0014690831
0.0013674498,0.00036385655,-0.0388489,-0.008773696,-0.0009776354,0.0013918653
