tf1,tf2,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,avg_trade_1c,num_trades,total_pts,win_rate,profit_factor,avg_win,avg_loss
300,60,65,200,5,130,330,650,0.9411977284701352,0.9794376180560118,6,0,0,-14.644351464435147,717,-10500.0,0.38633193863319387,0.9818574514038877,2051.4440433212994,-1339.6990740740741
240,60,155,95,90,115,210,390,0.9612234062195326,1.0253365633744755,11,1,0,-14.665012406947891,403,-5910.0,0.48883374689826303,0.9689608991360521,936.5228426395939,-937.9556650246305
180,90,275,255,5,190,390,650,0.9806547165860688,0.9160554640808074,6,0,0,-14.72938144329897,388,-5715.0,0.3427835051546392,0.9848671406442387,2796.5413533834585,-1481.0
240,120,265,65,75,40,200,270,0.9305151229120046,0.9146005385141127,21,1,1,-14.75531914893617,940,-13870.0,0.498936170212766,0.9584363434770231,681.9509594882729,-711.5245202558635
150,45,165,260,30,115,330,560,0.927427044432967,0.9433313307501562,8,0,0,-14.848178137651821,494,-7335.0,0.34210526315789475,0.9848351716509712,2818.639053254438,-1488.2615384615385
150,60,95,55,5,70,370,630,0.9559145084801244,0.9252971763779559,6,0,0,-14.95398773006135,652,-9750.0,0.3911042944785276,0.9818569208868709,2069.1960784313724,-1360.493670886076
180,90,225,170,70,140,140,260,0.9929013268924205,0.988586324241649,9,1,0,-14.97780244173141,901,-13495.0,0.4938956714761376,0.9443998104773088,515.1011235955057,-540.5679287305122
180,120,115,200,15,145,120,200,0.981618220204517,1.014667898522307,20,1,0,-15.124450951683748,683,-10330.0,0.5080527086383602,0.9498896407868248,564.3083573487032,-615.3582089552239
240,45,25,230,45,190,180,390,1.0350388444402143,1.0308143761199986,23,1,1,-15.210526315789474,380,-5780.0,0.4921052631578947,0.9693352432489787,977.0588235294117,-976.6321243523316
210,90,185,105,50,120,110,230,1.0198828269019438,0.9890110595180999,10,1,0,-15.29126213592233,515,-7875.0,0.5029126213592233,0.9446066190693913,518.4942084942085,-564.1468253968254
240,90,230,50,45,140,120,220,0.9156047113126053,1.028113490087144,9,1,0,-15.371134020618557,485,-7455.0,0.5030927835051546,0.9483314273833039,560.7786885245902,-611.3771186440678
