tf1,tf2,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,direction,avg_trade_1c,num_trades,total_pts,win_rate,profit_factor,avg_win,avg_loss
150,60,100,210,50,75,270,530,0.910723900550997,0.9739738414818991,24,0,0,short,385.57851239669424,363,139965.0,0.3884297520661157,1.352801058667843,3806.3120567375886,-1795.1357466063348
240,45,160,200,75,175,70,450,0.957071196615703,0.9925881390457798,19,0,1,short,384.6373056994819,386,148470.0,0.3393782383419689,1.4366122629025144,3729.1603053435115,-1344.0711462450593
120,60,125,90,70,155,120,580,0.9694381549256034,0.9488801364766074,24,0,1,short,384.07276995305165,426,163615.0,0.34976525821596244,1.454985331127209,3511.5436241610737,-1302.9166666666667
150,60,25,130,60,70,170,510,0.914247503555802,0.96989308680028,30,0,1,short,384.0480769230769,520,199705.0,0.38653846153846155,1.4597683948798232,3154.5522388059703,-1365.9119496855346
180,45,130,180,80,115,390,520,0.9334930725151013,0.9237313523988877,6,0,1,short,383.156146179402,301,115330.0,0.40863787375415284,1.2971656789487245,4092.9268292682927,-2180.3370786516853
240,90,65,120,55,110,90,550,0.949045111313069,0.9148277330583089,30,0,1,short,382.7565982404692,341,130520.0,0.3724340175953079,1.3342124804752515,4102.755905511811,-1824.9065420560748
180,90,40,85,80,155,190,640,0.9230302396223078,0.9286736079267489,24,0,0,short,382.1009771986971,307,117305.0,0.34527687296416937,1.3275623752146657,4485.094339622641,-1790.575
120,60,100,175,25,170,110,670,1.0103048815543691,1.0068831098803976,11,0,1,short,381.99095022624437,442,168840.0,0.32805429864253394,1.4707391195249115,3638.0,-1211.722972972973
300,45,135,285,85,180,340,670,0.9641619233103557,0.9343277229509506,17,0,1,short,381.4779005524862,362,138095.0,0.3425414364640884,1.3716927300621753,4109.879032258064,-1561.0504201680671
300,60,65,285,20,120,290,560,0.940000247388757,0.9714315666764097,11,0,1,short,381.0085836909871,466,177550.0,0.3798283261802575,1.4357215603028333,3305.2824858757062,-1409.9826989619378
180,60,65,250,65,100,100,490,0.946582433555074,0.9781460498255434,29,0,0,short,380.50742574257424,404,153725.0,0.3341584158415842,1.3555815136935603,4341.074074074074,-1607.1375464684015
120,90,100,140,15,30,60,460,0.9256169760043879,0.9101922097151742,10,0,1,short,380.09779951100245,409,155460.0,0.4058679706601467,1.4304761377324269,3112.0180722891564,-1498.4854771784233
300,45,135,230,85,100,80,590,0.9861930576858584,0.9255786301127017,15,0,1,short,380.0925925925926,378,143675.0,0.38095238095238093,1.4005324635499428,3488.784722222222,-1539.5278969957083
120,60,105,125,70,180,360,590,0.9579481815047701,0.9914929014206444,21,0,0,short,378.2119205298013,302,114220.0,0.347682119205298,1.339889897336706,4288.285714285715,-1705.8375634517768
240,45,205,235,75,155,150,650,1.0072537297576956,0.9969928243553525,9,0,0,short,377.86240786240785,407,153790.0,0.3144963144963145,1.4530163779898668,3853.671875,-1216.774193548387
120,45,140,220,30,160,290,490,0.9937837260672386,0.9642426871347285,10,0,0,short,377.67352185089976,389,146915.0,0.38303341902313626,1.368355731621703,3662.7852348993288,-1661.8333333333333
180,60,145,260,30,190,260,520,0.9967296921749017,0.9692967176432999,30,0,0,short,376.2229102167183,323,121520.0,0.38390092879256965,1.345158633226347,3819.2741935483873,-1769.1959798994974
240,90,125,35,75,160,320,670,1.0012867080719816,0.9905297792626103,11,0,0,short,374.089552238806,335,125320.0,0.408955223880597,1.378427346297862,3331.970802919708,-1681.0152284263959
120,60,75,90,95,105,180,570,0.9457149165788714,0.9851827780414187,17,0,1,short,373.9555555555556,450,168280.0,0.3422222222222222,1.4171748723288216,3712.0779220779223,-1367.3898305084747
180,60,280,155,30,145,170,460,1.0008315473233529,1.0053504589242181,5,0,0,short,372.0261437908497,306,113840.0,0.32679738562091504,1.3720626205183515,4198.1,-1485.2912621359224
180,60,105,290,75,95,150,490,0.9087315168906053,0.9685142048580977,6,0,1,short,370.4725609756098,328,121515.0,0.35060975609756095,1.3409081344948028,4156.173913043478,-1673.4507042253522
150,45,180,205,55,100,230,440,0.9375958832195326,0.9998743747287206,8,0,0,short,369.93690851735016,317,117270.0,0.3438485804416404,1.39343107323783,3810.4587155963304,-1446.9417475728155
210,45,220,225,20,185,150,430,1.0135460800557778,0.9349795041940208,22,0,1,short,368.49333333333334,375,138185.0,0.3466666666666667,1.4098681576176422,3656.3846153846152,-1376.1020408163265
240,60,140,70,20,35,140,470,1.0046211475031421,0.9507325290805055,28,0,0,short,367.85714285714283,385,141625.0,0.42597402597402595,1.4027499324602937,3007.743902439024,-1591.1538461538462
180,45,110,270,75,170,290,570,0.9387121782583732,0.9774455757656392,17,0,0,short,366.6209476309227,401,147015.0,0.33665835411471323,1.3530704387713441,4173.37037037037,-1565.375939849624
210,90,70,195,60,145,100,680,0.9188964452890731,0.9941741409744613,8,0,1,short,366.25373134328356,335,122695.0,0.2746268656716418,1.356816727738033,5071.25,-1415.0617283950617
