Id,Direction,EntryTime,ExitTime,EntryPrice,ExitPrice,Contracts,Pnl1c,PnlNet,ExitReason,MlScore
457,Long,2019-10-11 13:59:00,2019-10-11 16:04:00,133980,133420,74,-560,-41440,signal_reverse,0,000
458,Long,2019-10-16 13:59:00,2019-10-29 18:04:00,133580,141340,78,7760,605280,signal_reverse,0,000
459,Short,2019-11-25 16:49:00,2019-11-25 18:19:00,144740,145130,40,-390,-15600,signal_reverse,0,000
460,Short,2019-11-26 16:49:00,2019-12-04 19:19:00,144070,142340,40,1730,69200,signal_reverse,0,000
461,Long,2019-12-18 13:59:00,2019-12-27 13:59:00,150950,155210,88,4260,374880,signal_reverse,0,000
462,Short,2020-01-27 16:49:00,2020-01-30 16:49:00,154850,155740,40,-890,-35600,signal_reverse,0,000
463,Short,2020-02-18 16:49:00,2020-03-10 10:44:00,152170,108080,40,44090,1763600,expiration,0,000
464,Long,2020-04-02 13:59:00,2020-04-15 13:59:00,98740,107180,24,8440,202560,signal_reverse,0,000
465,Long,2020-04-28 13:59:00,2020-04-30 20:54:00,110930,108640,36,-2290,-82440,close_opposing,0,000
466,Long,2020-05-04 17:04:00,2020-05-08 15:04:00,109620,110930,28,1310,36680,signal_reverse,0,000
467,Long,2020-05-08 16:04:00,2020-05-12 15:04:00,112200,112610,38,410,15580,signal_reverse,0,000
468,Long,2020-05-18 13:59:00,2020-05-29 13:59:00,114290,121150,34,6860,233240,signal_reverse,0,000
469,Long,2020-06-01 13:59:00,2020-06-08 10:59:00,123880,129200,28,5320,148960,expiration,0,000
470,Long,2020-06-23 15:04:00,2020-06-23 16:04:00,125440,125170,40,-270,-10800,signal_reverse,0,000
471,Short,2020-06-26 16:49:00,2020-07-09 16:04:00,122690,123630,40,-940,-37600,close_opposing,0,000
472,Short,2020-07-13 16:49:00,2020-07-20 18:04:00,122160,123190,40,-1030,-41200,close_opposing,0,000
473,Long,2020-07-21 13:59:00,2020-07-30 13:59:00,126410,123880,56,-2530,-141680,signal_reverse,0,000
474,Long,2020-08-05 13:59:00,2020-08-07 15:04:00,128410,127110,54,-1300,-70200,signal_reverse,0,000
475,Long,2020-08-07 16:04:00,2020-08-07 17:04:00,127530,126680,52,-850,-44200,signal_reverse,0,000
476,Long,2020-08-10 13:59:00,2020-08-10 15:04:00,127450,127310,52,-140,-7280,signal_reverse,0,000
477,Long,2020-08-11 13:59:00,2020-08-21 16:49:00,129550,125860,60,-3690,-221400,close_opposing,0,000
478,Short,2020-08-25 19:24:00,2020-08-27 16:49:00,126290,126350,40,-60,-2400,signal_reverse,0,000
479,Short,2020-08-28 19:19:00,2020-09-08 10:44:00,126660,121290,40,5370,214800,expiration,0,000
480,Short,2020-10-14 19:24:00,2020-10-14 20:09:00,115300,115420,40,-120,-4800,signal_reverse,0,000
481,Short,2020-10-15 16:49:00,2020-10-23 13:59:00,113170,116070,40,-2900,-116000,close_opposing,0,000
482,Short,2020-10-26 20:49:00,2020-11-05 18:04:00,113910,116780,40,-2870,-114800,close_opposing,0,000
483,Long,2020-11-06 13:59:00,2020-11-25 13:59:00,115810,129480,36,13670,492120,signal_reverse,0,000
484,Long,2020-12-29 17:04:00,2020-12-30 17:04:00,139930,138380,72,-1550,-111600,signal_reverse,0,000
485,Long,2021-01-04 13:59:00,2021-01-19 13:59:00,143490,148130,48,4640,222720,signal_reverse,0,000
486,Short,2021-01-25 16:49:00,2021-01-27 16:49:00,141790,139320,40,2470,98800,signal_reverse,0,000
487,Long,2021-02-08 13:59:00,2021-02-19 13:59:00,145300,145620,48,320,15360,signal_reverse,0,000
488,Long,2021-02-19 18:04:00,2021-02-20 13:59:00,147170,146520,38,-650,-24700,signal_reverse,0,000
489,Short,2021-02-26 16:49:00,2021-03-03 12:59:00,141980,147630,30,-5650,-169500,close_opposing,0,000
490,Short,2021-03-19 15:19:00,2021-03-24 13:44:00,145930,141280,32,4650,148800,signal_reverse,0,000
491,Long,2021-04-01 10:59:00,2021-04-01 13:59:00,146860,145170,58,-1690,-98020,signal_reverse,0,000
492,Short,2021-04-05 13:44:00,2021-04-09 13:44:00,143460,140020,40,3440,137600,signal_reverse,0,000
493,Long,2021-04-14 10:59:00,2021-04-15 10:59:00,145690,142430,50,-3260,-163000,signal_reverse,0,000
494,Long,2021-04-15 16:04:00,2021-04-20 13:59:00,144350,144280,36,-70,-2520,signal_reverse,0,000
495,Short,2021-04-20 16:04:00,2021-04-22 15:04:00,143350,146920,40,-3570,-142800,close_opposing,0,000
496,Long,2021-04-23 10:59:00,2021-04-30 10:59:00,147900,147030,46,-870,-40020,signal_reverse,0,000
497,Long,2021-05-05 10:59:00,2021-05-13 10:59:00,149650,152110,60,2460,147600,signal_reverse,0,000
498,Long,2021-05-13 15:04:00,2021-05-14 12:59:00,153140,153710,42,570,23940,signal_reverse,0,000
499,Long,2021-05-14 15:04:00,2021-05-19 12:59:00,154040,155090,50,1050,52500,signal_reverse,0,000
500,Long,2021-05-21 15:04:00,2021-05-24 10:59:00,156120,155880,46,-240,-11040,signal_reverse,0,000
501,Long,2021-05-25 10:59:00,2021-06-07 10:59:00,156730,164290,72,7560,544320,signal_reverse,0,000
502,Short,2021-06-18 13:44:00,2021-06-18 14:34:00,162820,162180,40,640,25600,signal_reverse,0,000
503,Long,2021-06-28 10:59:00,2021-06-28 12:59:00,165130,165000,80,-130,-10400,signal_reverse,0,000
504,Short,2021-06-29 13:44:00,2021-07-01 15:04:00,161390,164790,40,-3400,-136000,close_opposing,0,000
505,Long,2021-07-06 10:59:00,2021-07-06 16:04:00,165900,164540,90,-1360,-122400,signal_reverse,0,000
506,Short,2021-07-08 13:44:00,2021-07-29 10:59:00,159570,162510,40,-2940,-117600,close_opposing,0,000
507,Long,2021-07-30 10:59:00,2021-08-09 11:59:00,162400,162480,66,80,5280,signal_reverse,0,000
508,Long,2021-08-10 10:59:00,2021-08-10 12:59:00,164330,163900,64,-430,-27520,signal_reverse,0,000
509,Long,2021-08-11 16:04:00,2021-08-16 10:59:00,164530,165330,58,800,46400,signal_reverse,0,000
510,Long,2021-08-16 11:59:00,2021-08-19 13:44:00,165700,163140,80,-2560,-204800,close_opposing,0,000
511,Short,2021-08-20 13:44:00,2021-08-26 13:44:00,162270,163670,40,-1400,-56000,signal_reverse,0,000
512,Short,2021-08-26 16:04:00,2021-08-27 17:34:00,163210,164930,40,-1720,-68800,signal_reverse,0,000
513,Long,2021-08-30 10:59:00,2021-09-08 07:59:00,166940,172260,64,5320,340480,expiration,0,000
514,Short,2021-09-20 13:44:00,2021-09-24 16:04:00,168960,171580,40,-2620,-104800,signal_reverse,0,000
515,Long,2021-09-27 10:59:00,2021-09-29 10:59:00,174810,174220,54,-590,-31860,signal_reverse,0,000
516,Long,2021-09-29 11:59:00,2021-09-29 12:59:00,174830,174590,44,-240,-10560,signal_reverse,0,000
517,Long,2021-09-30 10:59:00,2021-09-30 13:59:00,175200,174560,44,-640,-28160,signal_reverse,0,000
518,Short,2021-09-30 16:49:00,2021-09-30 17:34:00,174730,175320,40,-590,-23600,signal_reverse,0,000
519,Short,2021-10-01 13:44:00,2021-10-01 15:04:00,173810,174900,40,-1090,-43600,close_opposing,0,000
520,Long,2021-10-04 10:59:00,2021-10-12 10:59:00,175670,185410,48,9740,467520,signal_reverse,0,000
521,Long,2021-10-22 13:59:00,2021-10-25 11:59:00,188780,188970,44,190,8360,signal_reverse,0,000
522,Long,2021-10-25 13:59:00,2021-10-27 10:59:00,189640,189450,40,-190,-7600,signal_reverse,0,000
523,Short,2021-10-29 13:44:00,2021-11-10 13:44:00,184640,184640,40,-0,-0,signal_reverse,0,000
524,Short,2021-11-11 13:44:00,2021-12-08 07:44:00,182550,166200,40,16350,654000,expiration,0,000
525,Long,2021-12-23 11:59:00,2021-12-23 13:59:00,159690,159090,50,-600,-30000,signal_reverse,0,000
526,Long,2021-12-27 10:59:00,2021-12-29 15:04:00,159570,159120,50,-450,-22500,signal_reverse,0,000
527,Long,2022-01-03 10:59:00,2022-01-05 10:59:00,162390,160550,48,-1840,-88320,signal_reverse,0,000
528,Short,2022-01-06 13:44:00,2022-01-12 16:04:00,154760,161790,18,-7030,-126540,close_opposing,0,000
529,Long,2022-01-13 10:59:00,2022-01-13 11:59:00,160920,160740,44,-180,-7920,signal_reverse,0,000
530,Short,2022-01-13 16:04:00,2022-02-18 13:44:00,156470,145300,38,11170,424460,signal_reverse,0,000
531,Short,2022-02-18 15:19:00,2022-06-08 10:44:00,144780,118640,26,26140,679640,expiration,0,000
532,Long,2022-06-20 13:59:00,2022-06-20 16:04:00,120500,119770,26,-730,-18980,signal_reverse,0,000
533,Short,2022-06-20 16:49:00,2022-06-20 18:19:00,120090,120770,30,-680,-20400,signal_reverse,0,000
534,Long,2022-06-21 13:59:00,2022-07-01 16:49:00,121590,117710,24,-3880,-93120,close_opposing,0,000
535,Short,2022-07-05 16:49:00,2022-08-22 16:04:00,113280,113740,18,-460,-8280,close_opposing,0,000
