iter	Passed	Remaining
1011	2498	2439
1012	2500	2435
1013	2502	2433
1014	2504	2430
1015	2506	2427
1016	2508	2424
1017	2510	2421
1018	2512	2419
1019	2515	2416
1020	2516	2413
1021	2518	2410
1022	2520	2407
1023	2522	2404
1024	2524	2401
1025	2526	2398
1026	2528	2395
1027	2530	2392
1028	2532	2389
1029	2534	2386
1030	2536	2383
1031	2538	2380
1032	2540	2377
1033	2542	2375
1034	2544	2372
1035	2546	2369
1036	2547	2365
1037	2549	2362
1038	2551	2359
1039	2553	2356
1040	2554	2353
1041	2556	2350
1042	2558	2347
1043	2560	2344
1044	2562	2341
1045	2563	2338
1046	2565	2335
1047	2567	2332
1048	2569	2329
1049	2571	2326
1050	2574	2324
1051	2576	2321
1052	2577	2318
1053	2579	2315
1054	2581	2312
1055	2583	2309
1056	2584	2306
1057	2586	2303
1058	2589	2300
1059	2590	2297
1060	2592	2294
1061	2594	2291
1062	2596	2288
1063	2597	2285
1064	2599	2282
1065	2601	2279
1066	2603	2276
1067	2605	2273
1068	2607	2270
1069	2609	2267
1070	2610	2264
1071	2612	2261
1072	2614	2258
1073	2616	2255
1074	2618	2253
1075	2621	2250
1076	2623	2248
1077	2626	2246
1078	2628	2243
1079	2629	2240
1080	2632	2237
1081	2634	2235
1082	2637	2232
1083	2639	2230
1084	2641	2227
1085	2644	2225
1086	2646	2222
1087	2648	2220
1088	2650	2217
1089	2652	2214
1090	2654	2211
1091	2657	2209
1092	2659	2206
1093	2661	2203
1094	2663	2201
1095	2665	2198
1096	2667	2195
1097	2669	2192
1098	2671	2190
1099	2673	2187
1100	2675	2184
1101	2676	2181
1102	2679	2178
1103	2681	2176
1104	2683	2173
1105	2685	2170
1106	2687	2168
1107	2689	2165
1108	2691	2162
1109	2694	2160
1110	2695	2157
1111	2697	2154
1112	2699	2151
1113	2701	2148
1114	2703	2145
1115	2705	2142
1116	2707	2139
1117	2709	2137
1118	2711	2134
1119	2713	2131
1120	2714	2128
1121	2716	2125
1122	2718	2123
1123	2720	2120
1124	2722	2117
1125	2724	2114
1126	2726	2111
1127	2728	2109
1128	2730	2106
1129	2732	2103
1130	2733	2100
1131	2735	2097
1132	2737	2095
1133	2740	2092
1134	2742	2089
1135	2743	2086
1136	2745	2083
1137	2747	2081
1138	2748	2078
1139	2750	2075
1140	2752	2072
1141	2754	2069
1142	2756	2066
1143	2758	2063
1144	2759	2060
1145	2761	2057
1146	2763	2055
1147	2765	2052
1148	2766	2049
1149	2768	2046
1150	2770	2043
1151	2772	2040
1152	2774	2037
1153	2775	2035
1154	2777	2032
1155	2779	2029
1156	2781	2026
1157	2783	2023
1158	2785	2021
1159	2787	2018
1160	2789	2015
1161	2790	2012
1162	2792	2009
1163	2794	2007
1164	2796	2004
1165	2798	2001
1166	2800	1998
1167	2802	1995
1168	2803	1993
1169	2805	1990
1170	2807	1987
1171	2809	1984
1172	2811	1981
1173	2812	1979
1174	2815	1976
1175	2816	1973
1176	2818	1970
1177	2820	1967
1178	2822	1965
1179	2823	1962
1180	2825	1959
1181	2827	1956
1182	2829	1954
1183	2831	1951
1184	2832	1948
1185	2834	1945
1186	2836	1943
1187	2838	1940
1188	2840	1937
1189	2842	1934
1190	2844	1931
1191	2846	1929
1192	2847	1926
1193	2849	1923
1194	2851	1921
1195	2853	1918
1196	2855	1915
1197	2857	1912
1198	2858	1909
1199	2860	1907
1200	2862	1904
1201	2864	1901
1202	2866	1899
1203	2868	1896
1204	2870	1893
1205	2872	1890
1206	2874	1888
1207	2875	1885
1208	2877	1882
1209	2879	1880
1210	2881	1877
1211	2883	1874
1212	2884	1871
1213	2886	1869
1214	2888	1866
1215	2890	1863
1216	2892	1860
1217	2894	1858
1218	2896	1855
1219	2898	1852
1220	2899	1850
1221	2901	1847
1222	2903	1844
1223	2905	1842
1224	2908	1839
1225	2909	1837
1226	2911	1834
1227	2913	1831
1228	2915	1828
1229	2917	1826
1230	2918	1823
1231	2920	1820
1232	2922	1818
1233	2924	1815
1234	2926	1812
1235	2928	1809
1236	2929	1807
1237	2931	1804
1238	2933	1801
1239	2935	1799
1240	2937	1796
1241	2939	1793
1242	2941	1791
1243	2943	1788
1244	2945	1785
1245	2946	1783
1246	2948	1780
1247	2950	1778
1248	2952	1775
1249	2954	1772
1250	2956	1770
1251	2958	1767
1252	2960	1764
1253	2962	1762
1254	2964	1759
1255	2966	1757
1256	2968	1754
1257	2970	1752
1258	2972	1749
1259	2974	1746
1260	2976	1744
1261	2978	1741
1262	2980	1738
1263	2982	1736
1264	2984	1733
1265	2986	1731
1266	2988	1728
1267	2990	1726
1268	2992	1723
1269	2994	1721
1270	2997	1719
1271	2998	1716
1272	3000	1713
1273	3002	1710
1274	3004	1708
1275	3006	1705
1276	3008	1703
1277	3010	1700
1278	3012	1698
1279	3015	1696
1280	3017	1693
1281	3019	1691
1282	3021	1688
1283	3023	1686
1284	3025	1683
1285	3027	1681
1286	3029	1678
1287	3031	1675
1288	3033	1673
1289	3035	1670
1290	3036	1667
1291	3038	1665
1292	3040	1662
1293	3044	1661
1294	3046	1658
