hour,minute,day_of_week,month,d1_volume,d1_tr,d1_adx,d1_ret_1d,d1_ret_5d,m1_volume,m1_ret_15m,m1_ret_60m,m1_ret_120m,is_long,entry_time,period,pnl_net,target
15,29,1,9,121244.0,1930.0,20.37584661245115,-0.00404930931084857,0.021287219783974187,118.0,-0.0011768618722337587,-0.0007422574865625364,-0.0035222951070726927,1,2007-09-18 15:29:00,train,633420.0,1
14,34,2,10,194250.0,3655.0,32.59995691758329,0.007899411049827165,0.01218109700283998,365.0,-0.0012293275810080218,-0.0060018467220683824,-0.005083179297597051,0,2007-10-10 14:34:00,train,-141200.0,0
15,44,4,10,258951.0,4705.0,34.579206507945905,0.01892319137065268,0.04275212333166789,15.0,-4.611163627143977e-05,0.001500946751027632,0.002983210767309563,0,2007-10-12 15:44:00,train,62080.0,1
14,39,0,10,227441.0,2700.0,36.929848167996504,0.0010018405908529537,-0.012321839080459807,1474.0,-0.0026589430701295935,-0.006526982925791014,-0.009688597628533024,0,2007-10-22 14:39:00,train,-144900.0,0
15,34,4,10,267359.0,5000.0,31.040840430321065,0.012892639474918033,0.006733300715267676,694.0,0.0023297777574746714,0.0008438626100442104,0.0018492306287383187,1,2007-10-26 15:34:00,train,128380.0,1
15,34,2,11,361567.0,3740.0,36.03660218973694,-0.010411140583554412,-0.022510917030567734,381.0,0.0,-0.0032483424553909623,-0.004267425320056861,0,2007-11-14 15:34:00,train,-50400.0,0
14,34,3,11,340550.0,2775.0,35.545534314453036,0.008890080189416727,-0.01808734972499404,303.0,0.00013365708048374003,0.00107025797676652,0.001717983043284299,0,2007-11-15 14:34:00,train,245980.0,1
15,34,2,12,271721.0,2425.0,17.51541595506291,-0.0026589751678759432,0.021368902016892122,214.0,-8.873114463181508e-05,0.0008437319596785731,0.002267977053408643,1,2007-12-05 15:34:00,train,109760.0,1
15,34,1,12,345935.0,5275.0,24.698158187292773,-0.005639463278667267,-0.0222864305593915,542.0,0.00232048472347568,-0.00254442044944303,0.0010514795819831502,1,2007-12-18 15:34:00,train,-32400.0,0
15,34,2,12,354834.0,4590.0,23.826356264144227,0.01412429378531077,-0.023231477605692774,1269.0,0.0011921534626639918,-0.001189317764082598,0.0010836584308626662,1,2007-12-19 15:34:00,train,0.0,0
14,34,3,12,346527.0,4440.0,23.123002971668804,-0.003471180629954995,-0.0385148125943231,886.0,-0.001886590202594074,0.0008168705260216402,-0.002549490101979579,0,2007-12-20 14:34:00,train,-5460.0,0
15,34,3,12,346527.0,4440.0,23.123002971668804,-0.003471180629954995,-0.0385148125943231,1065.0,-0.0007719523962689268,0.0009021199819576609,0.0017197274232034765,0,2007-12-20 15:34:00,train,-37800.0,0
15,34,4,12,297516.0,3745.0,22.75444733933472,0.009589748000343956,-0.007545813869924589,514.0,-0.0009379063372625396,-0.00534793404214684,-0.005896451523957014,0,2007-12-21 15:34:00,train,-49560.0,0
15,34,0,12,241133.0,2550.0,22.568096818777224,0.00417429824935045,0.01877660378989221,332.0,-0.000929721506148895,0.0017372881355932623,0.0010374102851820055,0,2007-12-24 15:34:00,train,111440.0,1
14,34,3,12,138968.0,3460.0,20.475862774722746,-0.013133408911039313,-0.007977122215532817,435.0,-0.0026749503839847977,-0.0007780755597821543,0.0011260285838026185,0,2007-12-27 14:34:00,train,18480.0,1
14,34,2,1,81923.0,2100.0,17.717821304915873,0.000823223570190601,-0.0201908801696713,224.0,0.0004937741519965844,0.0030779164873009357,0.00498145432588637,0,2008-01-09 14:34:00,train,-12100.0,0
15,34,0,1,208742.0,1850.0,15.903527206931784,-0.001817754111332115,0.011682597481414092,1138.0,-8.472242814483444e-05,-0.0017128356946500833,0.0004874327130928169,1,2008-01-14 15:34:00,train,-18870.0,0
14,34,2,1,331179.0,2755.0,16.491309324634997,-0.006374266537211404,0.01900515173817041,1367.0,-0.008557999290528584,-0.019750542537100735,-0.02451900004362806,0,2008-01-16 14:34:00,train,314520.0,1
14,34,2,2,500441.0,12135.0,39.202807715576895,-0.028656126482213384,-0.03176557498153165,2986.0,0.007023342284651957,0.016684045881126153,0.010886469673405896,0,2008-02-06 14:34:00,train,-28760.0,0
16,32,1,2,272568.0,5895.0,35.14945723452246,0.02887323943661979,0.06731371321227297,385.0,-0.0009941804073715366,0.004584135963521918,0.011837807304074355,1,2008-02-19 16:32:00,train,-48320.0,0
15,32,3,2,386536.0,5570.0,32.16387599276281,-0.0154170095357955,0.00683083776760296,179.0,0.00016802285110784076,-0.0017727947870250782,-0.0016771287555704673,1,2008-02-21 15:32:00,train,-42300.0,0
16,32,4,2,256186.0,2990.0,23.06538025326828,-0.004818472401125873,0.025540178461689766,777.0,0.0008762535293544982,-0.0018932957910577919,0.0009006158264974751,1,2008-02-29 16:32:00,train,-112200.0,0
15,32,0,3,350836.0,6785.0,22.17305702672894,-0.01869606903163945,-0.018272504915831322,720.0,0.003037999900393551,0.0044887780548628076,0.0029880478087649376,0,2008-03-03 15:32:00,train,-46400.0,0
14,32,3,3,379816.0,5250.0,20.988284114329236,0.017319556976139072,-0.020609703735508855,365.0,0.0014394808109887691,0.002540178789507186,-0.006077923335835567,0,2008-03-06 14:32:00,train,-36400.0,0
15,32,3,3,379816.0,5250.0,20.988284114329236,0.017319556976139072,-0.020609703735508855,439.0,-0.002865467504635344,0.008868099205769031,0.011430804552782003,0,2008-03-06 15:32:00,train,97830.0,1
14,32,1,3,376802.0,12495.0,15.971668697325057,-0.04418828049951973,-0.021632251720747342,1184.0,-0.004502251125562795,0.004771401883315152,-0.0035052578868302042,0,2008-03-18 14:32:00,train,-40000.0,0
14,32,3,3,398390.0,5300.0,15.605598707750403,-0.006591453329054198,-0.03952644643880088,1573.0,-0.002233445851628102,-0.007473049054507852,-0.004734177215189872,0,2008-03-20 14:32:00,train,-38640.0,0
15,32,2,4,287723.0,3850.0,12.227946664633274,-0.002903926401327528,0.02986767485822317,109.0,-0.00041080663090231617,0.0030310378273521454,0.006447688564476861,1,2008-04-02 15:32:00,train,-47410.0,0
15,32,4,4,295124.0,3420.0,11.495629871723485,-0.00603435690301235,0.011890017339608594,468.0,0.00031530439000726496,0.003967867575462414,0.004090079123554524,1,2008-04-04 15:32:00,train,-34080.0,0
15,32,0,4,213384.0,2750.0,11.086792271748555,0.006682986536107771,0.011163293909365768,193.0,0.0,0.002327534493101302,0.0032182141313223944,1,2008-04-07 15:32:00,train,-108780.0,0
15,32,0,4,332359.0,6585.0,12.596292935119989,-0.021991563581212348,0.003574641927874822,38.0,0.0009514051522248046,0.0008781558726673744,-0.002673731800393764,0,2008-04-14 15:32:00,train,-18700.0,0
15,32,1,4,251585.0,2485.0,11.82269582531827,-0.0026896050399806137,-0.020023809523809555,524.0,0.000507001448575517,0.00038624019312005764,0.0013531472755829999,1,2008-04-15 15:32:00,train,62280.0,1
15,32,0,4,250741.0,2790.0,16.698818998355186,0.0014299332697806921,-0.03251059126911038,859.0,-0.0013734345174356566,0.004566316972648865,0.00898464143754274,1,2008-04-28 15:32:00,train,-52440.0,0
15,32,1,4,281798.0,5080.0,16.797976584948106,0.015468824369347933,-0.012268518518518512,218.0,0.0008025303309258103,-0.0014601290565682268,-0.0004007827050475088,1,2008-04-29 15:32:00,train,0.0,0
14,32,2,4,189538.0,2375.0,16.890051486783268,-0.009233653620810856,-0.015669747840461934,544.0,0.000525185008355189,-0.0011677510068873742,-0.003992395437262375,0,2008-04-30 14:32:00,train,-172620.0,0
16,32,2,5,234994.0,1660.0,15.956747362718659,0.006865524755723218,0.007030700726505801,1483.0,0.0033298886209667256,0.00482980680772771,0.0050609615827006404,1,2008-05-07 16:32:00,train,876780.0,1
15,32,3,5,420627.0,7600.0,39.757386216675464,-0.02397624897624895,-0.03562613797289094,276.0,0.0009068986128573098,-0.000267632890023517,-0.0035907747866054107,0,2008-05-29 15:32:00,train,-33550.0,0
14,32,4,5,362388.0,6355.0,39.72549708267893,0.00820239568692438,-0.005257275323922728,190.0,-0.0006773399014777803,0.00014379622021354344,0.0023882563669679335,0,2008-05-30 14:32:00,train,-28380.0,0
14,32,2,6,295408.0,3750.0,38.80308491047195,-0.009360406091370566,0.0234953533743103,1382.0,-0.006496100237559643,-0.005262271617411773,-0.007976825223561024,0,2008-06-04 14:32:00,train,4800.0,1
15,32,3,6,288379.0,3675.0,22.09058435252452,0.001622903749323834,0.018986939864106933,145.0,0.0009738712417894924,0.00026917900403766737,-0.0015294944400809918,1,2008-06-19 15:32:00,train,-16150.0,0
14,32,0,6,283412.0,3955.0,20.13770061511469,-0.015992200949990654,0.01410859341598969,914.0,-0.00014940026465193323,0.0010042735042734563,-0.002491269908866389,0,2008-06-23 14:32:00,train,106470.0,1
14,32,2,7,483614.0,4115.0,35.80203699854738,-0.008321618067207881,-0.005118289353958194,860.0,0.001113895850737956,-0.00314261946575467,-0.002912217445569243,0,2008-07-16 14:32:00,train,-145600.0,0
17,32,3,7,511496.0,6305.0,37.24117903713689,0.010060592203041008,0.017857142857142794,1272.0,0.0011381642080832144,0.007727558630604703,0.011841660087966721,1,2008-07-17 17:32:00,train,-100920.0,0
14,32,0,7,498383.0,10290.0,37.29536599018666,-0.03654618473895588,-0.0007636237417563141,2632.0,-0.004307150796591275,-0.005941509652063304,0.0022610195566536984,0,2008-07-21 14:32:00,train,300510.0,1
14,33,1,8,238213.0,6600.0,54.43376004325701,-0.01535664335664333,-0.0028045325779036956,107.0,0.001059602649006619,-0.0005289605924359009,-0.013830897703549061,0,2008-08-19 14:33:00,train,327400.0,1
14,32,3,9,376540.0,8890.0,54.9528374633919,-0.031744574034958783,-0.011500718794924647,63.0,-0.0005352139281553647,-0.0031401117879796825,-0.013210655559354745,0,2008-09-04 14:32:00,train,80010.0,1
19,47,3,9,120606.0,10350.0,50.685309222559844,0.029828660436137078,0.24922059518186113,93.0,-0.005732078409171337,0.004611919488041183,0.04624320500409551,1,2008-09-25 19:47:00,train,-85950.0,0
14,32,0,9,158269.0,11285.0,46.55328852468107,-0.04516311855761401,-0.019032715892135843,466.0,0.0016881707464126983,-0.01858779978734293,0.007234661708835244,0,2008-09-29 14:32:00,train,360550.0,1
