trial,avg_trade,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,num_trades,total_pnl,win_rate,profit_factor,max_drawdown,sharpe
1738,1020.2436053593179,290,290,45,120,290,400,0.9923848091436931,0.9717970854742148,21,1,1,821,837620.0,0.5322777101096224,1.1939247170551743,297090.0,1.065402514268724
1739,7565.064377682404,285,285,35,150,260,410,0.9831542688250775,0.9426382711913956,15,0,0,233,1762660.0,0.37339055793991416,1.342619004347222,779340.0,1.2916430899290416
1740,8050.542168674699,275,255,50,125,270,390,1.0168699491674884,0.9617771323709574,27,0,0,166,1336390.0,0.35542168674698793,1.417926830984484,569005.0,1.20930562382639
1741,18568.73076923077,290,270,45,170,320,420,1.0123083008815725,0.9557742564562512,18,0,0,130,2413935.0,0.4307692307692308,1.7919773227230449,518640.0,2.007254326700718
1743,12734.027777777777,285,260,40,140,280,400,0.9969931137442907,0.9646370944743434,22,0,0,180,2292125.0,0.39444444444444443,1.5434769722490942,720130.0,1.762650504729123
1744,15167.5,295,90,40,120,290,380,1.0094886993462096,0.9579957852601221,24,0,0,142,2153785.0,0.4014084507042254,1.8094790666383533,330705.0,2.277727271989298
1745,16405.880503144654,280,245,30,130,280,370,1.0010712750584987,0.9687769348290843,20,0,0,159,2608535.0,0.3710691823899371,1.7671766894351026,421525.0,1.999385844762622
1746,11921.105263157895,285,265,35,135,310,700,1.0140594836824046,0.9524617286771592,29,0,1,190,2265010.0,0.37894736842105264,1.7122460178076442,316330.0,1.9361639123751022
1747,14911.340579710144,295,275,60,125,300,390,1.0062940947528993,0.947195286091867,30,0,0,138,2057765.0,0.4492753623188406,1.674607376615202,733125.0,2.0248017800253804
1749,17686.785714285714,280,260,40,120,280,380,1.0096845708808624,0.9390624780780539,21,0,0,140,2476150.0,0.42142857142857143,1.8200407677315622,554235.0,1.9858792662385125
1750,3659.8809523809523,300,255,15,80,270,350,1.019325344464649,0.9829962527941243,14,0,1,168,614860.0,0.38095238095238093,1.1803304170833786,302640.0,0.7154585136015403
1751,8412.433155080214,275,280,40,155,290,410,0.9951299805538719,0.9608091259790282,20,0,0,187,1573125.0,0.3850267379679144,1.341635376105666,819120.0,1.214710316488754
1753,8198.092485549132,230,260,40,180,300,370,0.9989150072044675,0.9972665234108721,22,0,1,173,1418270.0,0.3930635838150289,1.3534210903382153,605345.0,1.2847690626733979
1754,12542.291666666666,290,240,35,95,260,390,1.0150156039227318,0.9649650747550347,28,0,0,168,2107105.0,0.3869047619047619,1.7242876932225586,498940.0,2.114675753981078
1756,14492.482993197278,270,115,45,120,290,380,1.0029042283953087,0.954916364629322,26,0,0,147,2130395.0,0.3877551020408163,1.6994016792376951,349485.0,1.9118884158780687
1757,950.8665644171779,280,250,40,160,310,420,1.0074007825951703,0.9507130639197142,18,1,1,652,619965.0,0.5199386503067485,1.1835307386937202,210430.0,1.0093941136774933
1758,17826.25,290,270,30,115,270,370,1.0115793123874386,0.9591207039335392,19,0,0,176,3137420.0,0.39204545454545453,1.9980849006184307,319265.0,2.4886333893665085
1759,5957.721518987341,285,255,40,125,300,400,1.000450713752073,1.041882070582022,21,0,0,79,470660.0,0.4050632911392405,1.327617350507965,352550.0,0.8764113077646379
1760,10379.027777777777,280,265,35,120,280,390,1.006994638719447,1.0083940056481189,25,0,0,144,1494580.0,0.3958333333333333,1.4735475510394833,570690.0,1.4523761624670992
1761,10835.486111111111,185,270,45,130,290,380,1.0144131965591752,0.9453103143847175,20,0,1,144,1560310.0,0.3680555555555556,1.4313793794624035,446265.0,1.384670900793687
1762,15066.319018404907,285,255,35,115,280,410,1.0026043515738385,0.968499618103023,23,0,0,163,2455810.0,0.36809815950920244,1.793963984352268,526495.0,2.0936583350289197
1763,10532.810650887574,295,265,45,120,260,350,0.9935853167889585,0.9553573390122155,15,0,0,169,1780045.0,0.42011834319526625,1.4136455426171948,431920.0,1.5905367082691646
1764,14557.27564102564,290,250,40,55,250,370,1.021271698577353,0.9633435556927885,28,0,0,156,2270935.0,0.3974358974358974,1.7846896482616952,604725.0,2.111123661016617
1766,12335.945945945947,195,275,45,165,300,390,0.9985677133028799,0.9597469398587527,29,0,0,185,2282150.0,0.42162162162162165,1.5022160311256645,588675.0,1.683035969331633
1767,13360.413533834586,275,285,70,125,290,380,1.0041099548221561,0.9763329888646167,30,0,0,133,1776935.0,0.41353383458646614,1.5456654552266191,693095.0,1.5142640242148415
1768,15889.606299212599,285,265,40,115,310,400,1.0170913888564979,0.9537428495650295,17,0,1,127,2017980.0,0.4094488188976378,1.6852480058677912,674560.0,1.7844231661066903
1769,12754.378531073446,275,270,35,135,270,380,1.0120057610505202,0.9654330789458863,21,0,0,177,2257525.0,0.3954802259887006,1.7006508299090017,587135.0,1.9569957425750406
1770,16030.154639175258,290,260,40,130,170,420,1.0060847259045969,0.970297105324702,14,0,0,194,3109850.0,0.4020618556701031,1.8369508758803883,634935.0,2.1181722084269716
1771,14551.532846715329,300,245,50,120,290,400,1.0090313885949604,0.9415725062532434,19,0,0,137,1993560.0,0.45255474452554745,1.6587635049062939,614265.0,1.9132770878067464
1773,13857.045454545454,285,280,45,175,270,370,1.0042028622987504,0.957473424624282,15,0,0,176,2438840.0,0.4147727272727273,1.685510301599348,477820.0,1.8640896043058384
1774,9239.827586206897,295,265,40,125,210,360,0.9955863659846126,0.9620141962287936,21,0,0,174,1607730.0,0.39655172413793105,1.3648732374548087,481980.0,1.4228821794905622
1775,1349.7328881469116,285,270,45,120,300,390,1.0142740421803147,0.9495210289738435,26,1,0,599,808490.0,0.5358931552587646,1.2674117464171013,188520.0,1.431492306608377
1776,17028.645161290322,280,275,35,140,290,390,1.0076337471137546,0.9542086120113621,28,0,1,155,2639440.0,0.4129032258064516,1.8372343833761027,466715.0,2.168454405964215
1777,18378.120805369126,290,260,40,130,280,410,1.0018068153317843,0.9678905194943974,20,0,0,149,2738340.0,0.37583892617449666,1.8433342367202128,615180.0,2.0606527963979206
1778,11942.931034482759,270,240,40,125,270,380,1.0110002901414983,0.9594129499302301,16,0,0,174,2078070.0,0.40804597701149425,1.6430507677359063,583700.0,2.0257150048800647
1779,14926.960784313726,280,250,35,115,290,370,1.0048191276505076,0.9647503641917478,29,0,1,153,2283825.0,0.39215686274509803,1.7348273393447502,444520.0,1.9257086886158201
1783,15012.289719626167,295,245,45,120,280,370,1.0247541750778737,0.9455043528195293,21,0,1,107,1606315.0,0.411214953271028,1.676896075109774,477180.0,1.6353834345717915
1784,14818.16091954023,285,260,55,110,270,380,1.010499937374676,0.9567444513404963,23,0,0,174,2578360.0,0.42528735632183906,1.8239691038749584,686450.0,2.157508925266455
1785,12318.026315789473,275,125,40,170,300,410,1.0017063730423024,0.9625707478877888,27,0,0,152,1872340.0,0.39473684210526316,1.5934488425570084,447920.0,1.7184916098200014
1786,18387.242647058825,285,280,45,160,290,390,1.0074382494875282,0.9511374358572743,30,0,0,136,2500665.0,0.4264705882352941,1.8346302820133271,351620.0,2.1376076870895346
1788,14791.677419354839,280,260,35,130,310,400,1.0052165951496155,0.9577539100894227,17,0,0,155,2292710.0,0.41935483870967744,1.7260293710169021,455630.0,2.024204778654257
1789,10131.82320441989,275,275,40,115,290,390,0.9993190009950845,0.9356712095544188,25,0,0,181,1833860.0,0.39226519337016574,1.463475752226256,703905.0,1.5286980703852047
1790,17015.8547008547,295,255,45,145,300,370,1.0172007059761083,0.9677455008414011,14,0,0,117,1990855.0,0.4188034188034188,1.8029988605539926,441925.0,1.8801399223062076
1791,22357.31343283582,285,265,40,120,280,380,1.0090478687644935,0.9482451237104703,21,0,1,134,2995880.0,0.4253731343283582,2.033989093670187,590715.0,2.31496477922995
1793,14157.783783783783,265,270,30,115,270,400,1.011589747887678,0.9415724859313777,21,0,1,185,2619190.0,0.3891891891891892,1.8365119439427546,319020.0,2.4190019492467254
1794,14226.404494382023,270,280,40,115,260,390,1.00872496058788,0.9435292018042705,20,0,1,178,2532300.0,0.4044943820224719,1.746287790710525,667155.0,1.8966929499367142
1795,1406.6471571906354,280,270,40,115,270,410,1.0211611695686889,0.9451656192421547,21,1,1,598,841175.0,0.5367892976588629,1.2132353313966162,258295.0,1.1552130966195862
1796,11132.48447204969,280,275,45,120,270,390,1.018932326515598,0.9474440539600084,20,0,1,161,1792330.0,0.37888198757763975,1.562775428950909,478475.0,1.5174097313951356
1797,10904.278350515464,270,265,35,110,140,420,1.0150327046241396,0.9438443628568793,20,0,1,194,2115430.0,0.4020618556701031,1.639655412229298,583855.0,1.950103909618758
1798,15936.983240223464,280,265,40,120,260,400,1.0037842789253368,0.9369440804292191,21,0,1,179,2852720.0,0.4134078212290503,1.8242830518514237,640680.0,2.125667718445276
1799,21019.62962962963,285,270,45,115,280,380,1.009188289735589,0.948416669707064,19,0,1,135,2837650.0,0.4222222222222222,1.9431795519510735,441815.0,2.142781174911685
1800,9049.70744680851,275,280,40,115,250,380,1.011584899796594,0.946242696543443,21,0,1,188,1701345.0,0.3776595744680851,1.4896139999481994,719970.0,1.6069389627539699
1801,20045.464285714286,285,265,50,110,280,400,1.0060677184591442,0.932248756354616,20,0,1,140,2806365.0,0.42857142857142855,1.911685830911746,531280.0,2.1318064997888797
1802,6132.038626609442,275,275,25,105,270,390,1.0016163770016293,0.9400221790844043,21,0,1,233,1428765.0,0.37339055793991416,1.3002591185346457,771345.0,1.127623331126355
1803,10164.553072625698,280,270,45,120,280,410,0.9886429592373486,0.9489469672457319,20,0,1,179,1819455.0,0.39664804469273746,1.406659819920901,659235.0,1.3980818147801821
1804,8674.598214285714,285,265,40,120,270,380,1.0154079399967235,1.033832190417207,19,0,1,112,971555.0,0.375,1.608615985992915,401500.0,1.5806411004259755
1805,15875.738255033557,285,275,35,105,280,390,1.0072316309427156,0.9424757168059169,20,0,1,149,2365485.0,0.3825503355704698,1.769391020949816,480685.0,2.0746479792655705
1806,12221.635071090048,290,235,40,120,270,400,0.9970915185351359,0.9499490342131832,13,0,1,211,2578765.0,0.38388625592417064,1.579312893413787,785940.0,1.8615920799749077
1807,11970.173611111111,280,285,45,115,280,420,1.011625845126696,0.9459458067428254,21,0,1,144,1723705.0,0.3888888888888889,1.5497489985456587,355725.0,1.6583382047414976
1808,12767.5,135,260,40,110,260,380,1.0024335295155957,0.9398097485819962,9,0,1,226,2885455.0,0.41150442477876104,1.6339019243633695,760110.0,2.04407018970378
1809,9826.286549707602,275,265,35,120,270,380,1.01915044872684,0.9503421085608647,27,0,1,171,1680295.0,0.39766081871345027,1.5485056660807173,590900.0,1.6148625757717598
1810,23223.872180451126,285,270,45,165,280,400,1.00711015195791,0.9516746263948137,21,0,1,133,3088775.0,0.45112781954887216,2.0556359653244978,443155.0,2.3905755835688662
1811,11772.291666666666,270,280,40,155,250,410,1.0131662696331487,0.9533741917058384,21,0,1,168,1977745.0,0.38095238095238093,1.6038307590380205,599915.0,1.8523415587963241
1812,11860.347222222223,275,275,45,160,270,370,1.0226820810947468,0.9517555397116402,21,0,1,144,1707890.0,0.3958333333333333,1.5884314775990587,369675.0,1.678313577198332
1813,11542.407407407407,280,270,50,165,260,390,1.016991054235089,0.9527751041900145,21,0,1,162,1869870.0,0.3950617283950617,1.611914509272622,401815.0,1.6427769006773223
1814,1636.6862170087977,275,280,30,160,270,380,1.0094475357719797,0.9541920745699848,21,1,1,682,1116220.0,0.5439882697947214,1.2565465663206499,341280.0,1.3671518041975326
1815,9529.831460674157,280,285,40,165,260,390,1.0125557173587536,0.950765047198587,21,0,1,178,1696310.0,0.37640449438202245,1.4815731163243608,539245.0,1.585171369747158
