tf1,tf2,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,sl_type,direction,avg_trade_1c,num_trades,total_pts,win_rate,profit_factor,avg_win,avg_loss,max_dd_1c
210,45,40,80,90,190,140,330,0.9533186612210722,0.9892727833615567,10,1,1,none,short,8.48358208955224,670,5684.0,0.47313432835820896,1.1523983162184626,135.58675078864354,-106.86819484240688,3398.0
120,45,295,240,60,185,130,690,0.9100782278966224,0.9842968402839113,22,0,0,none,short,8.47536231884058,345,2924.0,0.34492753623188405,1.0606425119771035,429.7563025210084,-216.21973094170403,7134.0
120,90,245,295,20,35,380,530,0.918635637721191,0.9033821501247975,30,1,1,none,short,8.474683544303797,474,4017.0,0.4810126582278481,1.2848330142522868,79.47368421052632,-58.03703703703704,1148.0
210,120,235,205,40,195,160,440,0.9458530240390483,1.000030426025112,13,1,1,none,short,8.465028355387524,529,4478.0,0.5311909262759924,1.116651036782328,152.54804270462634,-157.327868852459,3954.0
300,60,75,200,55,40,440,540,0.9757786925767941,0.9070019477934124,27,1,0,none,short,8.45945945945946,333,2817.0,0.4924924924924925,1.2559512992912956,84.28658536585365,-66.3012048192771,1951.0
300,90,255,175,55,80,250,350,0.9829456897679568,0.9388932058015407,23,1,1,none,short,8.458628841607565,423,3578.0,0.5295508274231678,1.164460378746093,113.09821428571429,-112.72538860103627,4140.0
210,45,95,65,35,20,470,650,0.9179164132788847,0.993318990068887,28,1,1,none,short,8.432432432432432,555,4680.0,0.518918918918919,1.189834908530402,101.85069444444444,-94.09541984732824,4285.0
240,60,220,290,70,80,250,650,0.9034642972461097,0.9134933702884752,5,1,0,none,short,8.430272108843537,588,4957.0,0.5085034013605442,1.08322420335113,215.7826086956522,-206.8125,8386.0
210,120,245,230,80,40,400,540,0.9423109990353863,0.993633099341578,7,1,0,none,short,8.426666666666666,375,3160.0,0.5093333333333333,1.2632894517580404,79.38219895287958,-67.42696629213484,1531.0
300,120,115,135,85,105,280,600,0.9169418665498591,0.9154123790429598,5,1,1,none,short,8.417816813048933,797,6709.0,0.5156838143036386,1.1221684026513221,149.93917274939173,-143.38381201044388,5224.0
