entry_time,exit_time,entry_price,exit_price,contracts,pnl,exit_reason,direction,pnl_1c
2015-04-07 18:02:00,2015-04-08 16:02:00,96350.0,97290.0,40,-37600.0,close_opposing,short,-940.0
2015-04-08 18:02:00,2015-04-09 16:02:00,96710.0,99270.0,40,-102400.0,close_opposing,short,-2560.0
2015-04-09 18:02:00,2015-04-13 16:02:00,98610.0,99350.0,40,-29600.0,close_opposing,short,-740.0
2015-04-13 18:02:00,2015-04-14 16:02:00,99590.0,99930.0,40,-13600.0,close_opposing,short,-340.0
2015-04-14 18:02:00,2015-04-15 16:02:00,99720.0,102590.0,40,-114800.0,close_opposing,short,-2870.0
2015-05-12 18:02:00,2015-05-19 18:02:00,105760.0,104460.0,40,52000.0,signal_reverse,short,1300.0
2015-10-06 16:03:00,2015-10-15 16:03:00,81280.0,87900.0,100,662000.0,signal_reverse,long,6620.0
2015-10-15 18:03:00,2015-10-21 18:03:00,88440.0,85460.0,40,119200.0,signal_reverse,short,2980.0
2015-11-17 18:03:00,2015-11-23 16:03:00,85920.0,89540.0,40,-144800.0,close_opposing,short,-3620.0
2015-11-23 18:03:00,2015-11-24 18:03:00,89490.0,86640.0,40,114000.0,signal_reverse,short,2850.0
2015-11-25 18:03:00,2015-11-27 18:03:00,87350.0,85680.0,40,66800.0,signal_reverse,short,1670.0
2016-01-28 16:03:00,2016-02-02 16:03:00,72750.0,70090.0,52,-138320.0,signal_reverse,long,-2660.0
2016-02-04 16:03:00,2016-02-08 16:03:00,72760.0,71270.0,64,-95360.0,signal_reverse,long,-1490.0
2016-02-17 16:04:00,2016-02-19 16:04:00,72560.0,73390.0,76,63080.0,signal_reverse,long,830.0
2016-02-20 16:04:00,2016-02-24 16:04:00,73470.0,73110.0,100,-36000.0,signal_reverse,long,-360.0
2016-02-25 16:04:00,2016-03-07 16:04:00,74680.0,83030.0,56,467600.0,signal_reverse,long,8350.0
2016-03-07 18:04:00,2016-03-09 11:59:00,83320.0,81450.0,40,74800.0,expiration,short,1870.0
2016-03-30 18:04:00,2016-04-01 18:04:00,86950.0,85210.0,40,69600.0,signal_reverse,short,1740.0
2016-04-11 18:04:00,2016-04-18 18:04:00,89120.0,87900.0,40,48800.0,signal_reverse,short,1220.0
2016-04-19 18:04:00,2016-04-27 18:04:00,92360.0,91560.0,40,32000.0,signal_reverse,short,800.0
2016-05-16 18:04:00,2016-05-17 18:04:00,92700.0,92160.0,40,21600.0,signal_reverse,short,540.0
2016-05-30 18:04:00,2016-05-31 18:04:00,91860.0,90310.0,40,62000.0,signal_reverse,short,1550.0
2016-06-06 18:04:00,2016-06-07 16:04:00,92140.0,94140.0,40,-80000.0,close_opposing,short,-2000.0
2016-06-07 18:04:00,2016-06-08 11:59:00,94120.0,94900.0,40,-31200.0,expiration,short,-780.0
2016-07-11 18:04:00,2016-07-12 16:04:00,92480.0,94200.0,40,-68800.0,close_opposing,short,-1720.0
2016-07-12 18:04:00,2016-07-13 16:04:00,94110.0,94800.0,40,-27600.0,close_opposing,short,-690.0
2016-07-13 18:04:00,2016-07-14 16:04:00,93680.0,95200.0,40,-60800.0,close_opposing,short,-1520.0
2016-07-14 18:04:00,2016-07-22 18:04:00,96180.0,93720.0,40,98400.0,signal_reverse,short,2460.0
2016-08-08 18:04:00,2016-08-09 18:04:00,94900.0,95140.0,40,-9600.0,signal_reverse,short,-240.0
2016-08-11 18:04:00,2016-08-24 18:04:00,94660.0,95400.0,40,-29600.0,signal_reverse,short,-740.0
2016-08-26 18:04:00,2016-08-29 18:04:00,97350.0,95750.0,40,64000.0,signal_reverse,short,1600.0
2016-09-05 18:04:00,2016-09-06 16:04:00,97510.0,98600.0,40,-43600.0,close_opposing,short,-1090.0
2016-09-06 18:04:00,2016-09-07 16:04:00,99110.0,100330.0,40,-48800.0,close_opposing,short,-1220.0
2016-09-07 18:04:00,2016-09-08 11:59:00,99990.0,100800.0,40,-32400.0,expiration,short,-810.0
2016-09-22 18:04:00,2016-09-23 18:04:00,99550.0,98690.0,40,34400.0,signal_reverse,short,860.0
2016-09-29 18:04:00,2016-10-12 18:04:00,99390.0,99310.0,40,3200.0,signal_reverse,short,80.0
2016-11-10 16:04:00,2016-11-10 18:04:00,101340.0,100520.0,68,-55760.0,close_opposing,long,-820.0
2016-11-17 18:04:00,2016-11-21 16:00:00,99970.0,100930.0,40,-38400.0,close_opposing,short,-960.0
2016-11-22 16:04:00,2016-11-23 18:04:00,102270.0,101200.0,100,-107000.0,close_opposing,long,-1070.0
2016-11-24 16:04:00,2016-11-25 18:04:00,102300.0,102070.0,100,-23000.0,close_opposing,long,-230.0
2016-11-28 18:04:00,2016-11-29 18:04:00,101870.0,100720.0,40,46000.0,signal_reverse,short,1150.0
2016-11-30 18:04:00,2016-12-01 16:04:00,103050.0,104290.0,40,-49600.0,close_opposing,short,-1240.0
2016-12-01 18:04:00,2016-12-05 16:04:00,104680.0,106730.0,40,-82000.0,close_opposing,short,-2050.0
2016-12-05 18:04:00,2016-12-08 11:59:00,107230.0,108440.0,40,-48400.0,expiration,short,-1210.0
2017-01-03 18:04:00,2017-01-11 18:04:00,119670.0,115750.0,40,156800.0,signal_reverse,short,3920.0
2017-01-12 18:04:00,2017-01-13 18:04:00,117530.0,116170.0,40,54400.0,signal_reverse,short,1360.0
2017-01-27 18:04:00,2017-01-31 18:04:00,119250.0,116740.0,40,100400.0,signal_reverse,short,2510.0
2017-02-02 18:04:00,2017-02-07 18:04:00,117140.0,117290.0,40,-6000.0,signal_reverse,short,-150.0
2017-03-24 16:04:00,2017-03-27 16:04:00,112400.0,110430.0,92,-181240.0,signal_reverse,long,-1970.0
2017-04-05 16:04:00,2017-04-06 16:04:00,115060.0,114530.0,100,-53000.0,signal_reverse,long,-530.0
2017-05-02 18:04:00,2017-05-03 18:04:00,111730.0,109330.0,40,96000.0,signal_reverse,short,2400.0
2017-05-15 18:05:00,2017-05-16 18:04:00,111320.0,111000.0,40,12800.0,signal_reverse,short,320.0
2017-07-13 16:04:00,2017-07-21 16:04:00,101430.0,103360.0,100,193000.0,signal_reverse,long,1930.0
2017-08-08 18:04:00,2017-08-10 18:04:00,104620.0,102960.0,40,66400.0,signal_reverse,short,1660.0
2017-08-14 18:04:00,2017-08-15 18:04:00,103320.0,102780.0,40,21600.0,signal_reverse,short,540.0
2017-08-22 18:04:00,2017-09-01 18:04:00,103940.0,110300.0,40,-254400.0,signal_reverse,short,-6360.0
2017-09-29 18:04:00,2017-10-02 18:04:00,113360.0,112770.0,40,23600.0,signal_reverse,short,590.0
2017-10-04 18:04:00,2017-10-06 18:04:00,113560.0,113410.0,40,6000.0,signal_reverse,short,150.0
2017-10-11 18:04:00,2017-10-13 18:04:00,114370.0,115430.0,40,-42400.0,signal_reverse,short,-1060.0
2017-11-07 18:04:00,2017-11-14 18:04:00,114200.0,113850.0,40,14000.0,signal_reverse,short,350.0
2017-11-22 18:04:00,2017-11-28 18:04:00,115520.0,115280.0,40,9600.0,signal_reverse,short,240.0
2017-12-25 18:04:00,2018-01-03 16:04:00,115130.0,117880.0,40,-110000.0,close_opposing,short,-2750.0
2018-01-03 18:04:00,2018-01-04 16:04:00,118520.0,121550.0,40,-121200.0,close_opposing,short,-3030.0
2018-01-04 18:04:00,2018-01-05 16:04:00,121640.0,121680.0,40,-1600.0,close_opposing,short,-40.0
2018-01-05 18:04:00,2018-01-09 16:04:00,122330.0,123450.0,40,-44800.0,close_opposing,short,-1120.0
2018-01-09 18:04:00,2018-01-10 16:04:00,122910.0,123160.0,40,-10000.0,close_opposing,short,-250.0
2018-01-10 18:04:00,2018-01-11 16:04:00,123630.0,124430.0,40,-32000.0,close_opposing,short,-800.0
2018-01-11 18:04:00,2018-01-12 16:04:00,125080.0,125920.0,40,-33600.0,close_opposing,short,-840.0
2018-01-12 18:04:00,2018-01-15 16:04:00,126130.0,126950.0,40,-32800.0,close_opposing,short,-820.0
2018-01-15 18:04:00,2018-01-22 18:04:00,126870.0,128640.0,40,-70800.0,signal_reverse,short,-1770.0
2018-02-21 18:04:00,2018-03-01 18:04:00,128470.0,127500.0,40,38800.0,signal_reverse,short,970.0
2018-05-10 16:04:00,2018-05-15 16:04:00,117130.0,117760.0,80,50400.0,signal_reverse,long,630.0
2018-07-05 16:04:00,2018-07-12 16:04:00,114860.0,116920.0,100,206000.0,signal_reverse,long,2060.0
2018-07-31 18:04:00,2018-08-01 18:04:00,117350.0,116580.0,40,30800.0,signal_reverse,short,770.0
2018-09-18 16:04:00,2018-10-04 16:04:00,110150.0,116330.0,100,618000.0,signal_reverse,long,6180.0
2018-11-02 18:04:00,2018-11-09 18:04:00,112920.0,111320.0,40,64000.0,signal_reverse,short,1600.0
2018-12-03 16:04:00,2018-12-05 16:04:00,115260.0,114430.0,64,-53120.0,signal_reverse,long,-830.0
2019-01-08 18:04:00,2019-01-09 16:04:00,112440.0,113320.0,40,-35200.0,close_opposing,short,-880.0
2019-01-09 18:04:00,2019-01-10 16:04:00,114090.0,114090.0,40,-0.0,close_opposing,short,-0.0
2019-01-11 16:04:00,2019-01-14 18:04:00,114970.0,114690.0,100,-28000.0,close_opposing,long,-280.0
2019-01-15 16:04:00,2019-01-17 16:04:00,114370.0,115410.0,100,104000.0,signal_reverse,long,1040.0
2019-01-17 18:04:00,2019-01-18 16:04:00,115600.0,117010.0,40,-56400.0,close_opposing,short,-1410.0
2019-01-18 18:04:00,2019-01-21 16:04:00,117350.0,117890.0,40,-21600.0,close_opposing,short,-540.0
2019-01-21 18:04:00,2019-01-25 18:04:00,117570.0,119020.0,40,-58000.0,signal_reverse,short,-1450.0
2019-03-18 18:05:00,2019-03-21 16:04:00,120310.0,122320.0,40,-80400.0,close_opposing,short,-2010.0
2019-03-21 18:04:00,2019-03-22 18:04:00,121960.0,119120.0,40,113600.0,signal_reverse,short,2840.0
